순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791185502076,14155992,비밀의 정원 Secret Garden,"10,800원",600원,조해너 배스포드,클,"아날로그적인 재미와 일상과 거리 두기로 전 세계에 열풍을 일으켰던 스테디셀러 컬러링북! 『비밀의 정원』 한국어판 출간 5주년 기념 특별 리커버 에디션 출간! 컬러링북이라는 말이 생소하던 2014년에 등장한 『비밀의 정원』은 전 세계 1300만, 우리나라 155만 독자가 선택할 만큼 놀라운 기세로 컬러링북 열풍을 불러일으켰다. 이 책은 컬러링북의 대명사이자, 새로운 취미를 탄생하게 한 책으로, 2014년 올해의 책으로 선정되었으며, 출간 이후 지금까지 전 연령을 아우르며 이제는 취미와 예술 분야의 스테디셀러로 자리하고 있다. 이 책 『비밀의 정원』이 한국어판 출간 5주년을 맞아, 특별 리커버 에디션을 선보인다. 전 세계 어디에서도 찾아볼 수 없는 아름다운 디자인의 표지에는 오직 우리나라 독자만을 위한 작가의 감사 인사와 친필 사인이 인쇄되었다. 본문은 초판과 같다.",1,국내도서-건강 취미
2,9788996991342,15058512,미움받을 용기,"13,410원",740원,기시미 이치로/고가 후미타케,인플루엔셜,"프로이트, 융과 어깨를 나란히 하며 ‘심리학의 3대 거장’으로 일컬어지고 있는 알프레드 아들러의 심리학을 쉽고 재미있게 구성했다. 인간은 변할 수 있고, 누구나 행복해질 수 있다. 단 그러기 위해서는 '용기'가 필요하다. 자유로워질 용기, 평범해질 용기, 행복해질 용기, 그리고 미움받을 용기.",1,국내도서-인문
3,9788932916194,9295916,창문 넘어 도망친 100세 노인,"12,420원",690원,요나스 요나손/임호경,열린책들,"전 세계 500만 부 이상 판매된 특급 베스트셀러 100년간 전 세계를 누비며 역사의 현장 한복판에 본의 아니게 끼어든 요절복통 영감님, 101년째 모험을 떠나다! 스웨덴 작가 요나스 요나손의 장편소설이다. 기자와 PD로 오랜 세월 일해 온 작가의 늦깎이 데뷔작인 이 소설은 인구 900만의 스웨덴에서 100만 부, 전 세계적으로 500만 부 이상 팔리며 [백 세 노인 현상]을 일으켰다. 『창문 넘어 도망친 100세 노인』은 1905년 스웨덴의 한 시골 마을에서 태어난 주인공이 살아온 백 년의 세월을 코믹하고도 유쾌하게 그린 작품이다. 급변하는 현대사의 주요 장면마다 본의 아니게 끼어들어 역사의 흐름을 바꿔 놓는 주인공의 활약은 독자로 하여금 역사의 생생한 현장 속으로 빨려 들어가게 한다.",1,국내도서-소설/시/희곡
4,9788959893010,14987477,트렌드 코리아 2015,"14,400원",800원,김난도/전미영/이향은/이준영/김서영/최지혜,미래의창,"‘양의 해’ 소비트렌드 키워드는 COUNT SHEEP 소비자의 작은 일상에 ‘새로운 기회’가 숨어 있다! 올해로 7년째로 접어드는 [트렌드 코리아] 시리즈의 2015년 전망은 ‘COUNT SHEEP’으로 모아진다. 해마다 그해의 띠 동물에 운을 맞추는 전통에 따른 것으로, 보통 잠이 오지 않을 때 양을 세는 습관에서 유래한 이 키워드는 ‘양 떼’에서 연상되는 이미지처럼 안온하면서 소소한 소비자들의 일상을 충실히 전하고 있다. 김난도 교수가 이끄는 서울대 소비트렌드분석센터는 대한민국 전체가 결정장애에 시달리면서 ‘썸’ 현상이 더욱 대중화될 것이고, 셀피족과 어번그래니, 증거중독자들, 그리고 골목길 순례자들이 2015년 대한민국의 소비트렌드를 이끌 것으로 예측했다.",2,국내도서-경제 경영
5,9788985961851,15406901,지금 여기 깨어있기,"10,800원",600원,법륜,정토출판,"부처님의 가르침, 선사들의 깨침의 순간, 그리고 이어지는 법륜 스님의 깨달음의 이야기 2012년 국내 300회 강연뿐만 아니라 2014년 세계 100회 즉문즉설 강연을 통해 전 세계로 직접 찾아가 사람들의 인생 고민을 직접 만난 법륜 스님. 진리의 길, 깨달음의 길에 이르는 방법을 알려주는 새 책〈지금 여기, 깨어있기〉를 펴냈다. 특히, 〈지금 여기, 깨어있기〉에서는 법륜 스님 자신의 인생에 큰 전환점이 되었던 깨달음의 순간을 생생하게 들려준다. 이 책에는 참자유, 참행복을 찾으려면 삶 속에서 스스로를 돌아보고 깨쳐야 한다는 부처님의 근본 가르침이 선사들과 이웃들, 법륜 스님의 수행담을 통해 친근하게 담겨있다. 법륜 스님은 우리가 진정 행복해지고 자유로워지는 길은 ‘자기의 문제를 자기가 인식하는 것으로부터 시작한다.’ 라고 강조한다. 〈지금 여기, 깨어있기〉에서 법륜 스님은 자기가 단도직입으로 살핀다면 인생살이가 절대 복잡하지 않다고 말한다. 지금 행복해야 한다.",1,국내도서-종교
6,9788960867581,15347666,미생 - 아직 살아있지 못한 자 특별보급판 세트,"64,800원","3,600원",윤태호,위즈덤하우스,"무섭도록 치밀하고, 벅차게 감동적인 본격 샐러리맨 만화의 탄생 『미생』은 열한 살에 한국기원 연구생으로 들어가 프로기사만을 목표로 살아가던 청년 장그래가 입단에 실패하고 ‘회사’라는 전혀 새로운 세계에 들어서면서 시작된다. 작가는 다양한 업무가 숨 돌릴 틈 없이 바쁘게 돌아가는 종합상사의 인턴사원으로 장그래를 밀어 넣었다. 검정고시 출신 고졸에 취미도 특기도 없지만 신중함과 통찰력, 따뜻함을 지닌 장그래는 합리적이고 배려심 깊은 상사들을 만나 일을 배워가고, 한 편의 드라마 같은 입사 P·T 시험을 거쳐 계약직이지만 정식 사원증을 목에 건다. 그리고 『미생』을 읽으며 하루의 업무를 시작하고, 나는 과연 열정적으로 살고 있는가 되돌아보고, 나만 힘든 게 아니구나 위로받는 독자들은 장그래에게 응원을 보내는 동시에 자신의 삶에도 파이팅을 보내고 있다.",3,국내도서-만화/라이트노벨
7,9788972756194,8157957,나미야 잡화점의 기적,"13,320원",740원,히가시노 게이고/양윤옥,현대문학,"지난 10년간 한국에서 가장 많이 팔린 소설이자 히가시노 게이고의 대표작. 30여 년째 비어 있는 폐가, ‘나미야 잡화점’에 숨어든 삼인조 좀도둑이 뜻밖에도 과거로부터 도착한 고민 상담 편지에 답장을 하면서 겪게 되는 기묘한 하룻밤의 이야기를 그린다. 작가는 시공간을 넘나드는 편지라는 설정을 단순한 판타지가 아닌 추리적인 향기와 깊이가 담긴 소재로 승화시킨다.",1,국내도서-소설/시/희곡
8,9788984372412,15382586,센트럴 파크,"12,420원",690원,기욤 뮈소/양영란,밝은세상,"기욤 뮈소는 여전하다! 사랑과 감동의 마에스트로 기욤 뮈소의 매혹적 스릴러 센트럴 파트 2014년 프랑스 베스트셀러 1위! 전 세계 40여 개국 출간! 『센트럴파크』는 기욤 뮈소를 스릴러 작가로 불러도 손색없을 만큼 한층 섬세하고 치밀하게 짜여진 스토리를 선보이고 있다. 프랑스에서만 100만 부를 판매하며 독자들과 언론으로부터 역시 기욤 뮈소라는 찬사를 이끌어내기도 했다. 『센트럴파크』는 감각적인 문장, 역동적인 스토리, 한시도 눈을 뗄 수 없게 만드는 긴장감, 빈틈없이 조직된 플롯, 연속되는 반전으로 새로운 스타일의 작품을 기대하는 독자들의 바람을 완벽하게 충족시켜주고 있다. 또 고전적인 스릴러의 전개방식인 형사와 범인의 쫓고 쫓기는 추격전에 매몰되기보다는 다양한 시도를 통해 색다른 이야기를 그려 보이고 있다.",1,국내도서-소설/시/희곡
9,9788950967024,15152784,마법천자문 30,"8,820원",450원,올댓스토리/홍거북/김창환,아울북,"위험천만한 서커스 공연에 등장하는 삼장! 오공은 삼장을 멋있게 구하면서 서커스단의 스타로 급부상한다. 공연이 끝나고 서커스 단장 젠틀맨과 대면한 오공 일행은 그의 손에서 잔혹마왕의 부하를 뜻하는 해골반지를 보게 되는데…. 오공이 참여한 서커스가 재미있었다는 소문이 나면서 잔혹마왕의 부하 블랙크로우가 오공과 서커스단을 찾아온다. 그리고 오공을 포함한 서커스단 전원이 최강전사대회장에서, 심지어 잔혹마왕 앞에서 공연할 것을 명한다. 한편 혼세는 최강전사대회와 소원의 돌을 알아보기 위해 대회장에 도착하고, 그곳에서 승부의 목적과 이유도 없이, 오로지 싸움에만 열광하는 사람들의 모습을 보며 환멸을 느끼는데…. 과연 최강전사대회의 목적과 소원의 돌은 무엇일까? 또 오공은 잔혹마왕 앞에서도 서커스를 잘할 수 있을까? 마법천자문 30권에서 확인해 보세요.",1,국내도서-어린이
10,9788997575336,15123920,습관의 재발견,"11,700원",650원,스티븐 기즈/구세희,비즈니스북스,"1월에 당신이 세웠던 ‘올해의 목표’, 기억하고 있는가? 많은 이들이 한 해, 한 주가 시작될 때마다 저마다의 목표와 계획을 세운다. 새해 결심으로 빠질 수 없는 금연과 다이어트, 자기계발을 위해 한 번쯤 세워봤을 영어 공부하기, 한 달에 2권 이상 독서하기, 하루 한 시간 운동하기 등. 누군가는 초반의 넘치는 열정을 주체하지 못해 덜컥 비싼 영어학원에 등록하고, 헬스클럽에 1년 치 돈을 내며 할인을 받았다고 좋아한다. 하지만 당신이 세웠던 그 찬란한 목표와 계획들, 얼마나 잘 지켜지고 있는가? 당연히 잘 지켜지지 않았을 것이다.",1,국내도서-자기계발
