순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788965700036,4447549,아프니까 청춘이다,"12,600원",700원,김난도,쌤앤파커스,"아프고 어렵기 때문에 좋은 것, 청.춘. 수많은 청춘의 마음을 울린 김난도 교수의 인생 강의실 서울대학교 학생들이 뽑은 최고의 명강의의 주인공 김난도 교수가 들려주는 영혼을 울리는 따뜻한 위로의 이야기, 머리를 내리치는 따끔한 죽비 같은 이야기를 들려준다. 부단히 스펙을 쌓고 취업관문을 두드리고 사회초년생으로서 적응해가고 있지만, 미래는 여전히 한 치 앞을 내다볼 수 없는 한국의 청춘들에게 전하는 위로와 격려의 메시지다.",3,국내도서-에세이
2,9788934939603,3863865,정의란 무엇인가,"13,500원",750원,마이클 샌델/이창신,김영사,"20년 간 하버드대 최고의 명강의로 손꼽히는 정치철학자 샌델의 '정의(Justice)'는 '정의란 무엇인가'라는 질문에 대한 해답을 찾는 과정에서 나타나는 딜레마를 다룬다. 책은 여러 논쟁을 통해, 우리가 시민으로 살면서 부딪히는 어려운 질문들을 설득력있게 풀어간다.",1,국내도서-사회 정치
3,9788950926298,4212690,생각 버리기 연습,"10,800원",600원,코이케 류노스케/유윤한,21세기북스,"생각하지 않고 오감으로 느끼면 어지러운 마음이 서서히 사라진다. 코이케 류노스케 스님이 전하는 생각 버리기 연습 우리를 괴롭히는 잡념의 정체를 짚어내며, 일상에서 바로 실천할 수 있는 생각 버리기 연습을 제시하는 책. 현재 일본에서 생각을 버리는 법에 대해 강연을 하며 폭발적인 인기를 얻고 있는 저자는 우리가 생각을 멈추기 어려운 이유를 이렇게 설명한다. 우리의 뇌는 자극을 추구한다.",3,국내도서-자기계발
4,9788996461067,4802677,4001,"12,600원",700원,신정아,사월의책,"2007년 한국 사회를 놀라게 한 '신정아 사건' 사건의 주인공이 털어놓는, 그녀와 그들의 알려지지 않은 이야기. 전시기획에서 수차례 성공을 거두며 능력을 인정 받고, 커리어를 쌓아가던 큐레이터. 많지 않은 나이에 광주비엔날레의 공동감독으로 선정되기도 하는 등 성공가도를 달리던 그녀의 삶이 무너지기 시작한 것은 교수로 재임하던 시절 학위의 진위에 대한 논란이 불거지면서부터였다.",2,국내도서-에세이
5,9788947527897,4589760,내 아이를 위한 감정코칭,"14,220원",790원,존 가트맨/최성애/조벽,한국경제신문사(한경비피),"“나는 아이를 제대로 사랑하고 있을까?” 감정코칭의 세계적인 권위자 존 가트맨 박사와 EBS '60분 부모'의 최성애 박사, 교수를 가르치는 교수 조벽 박사가 만나 전 세계 엄마들의 양육 방식을 바꾼 감정코칭 5단계를 들려준다.가족치료의 세계적인 권위자 존 가트맨 박사가 30년간 3천 가정을 연구 조사하여 만들어낸 ‘감정코칭’이란 육아법은 이미 수많은 가정 및 학교에서 이루어지며 그 효과를 인정받고 있다.",3,국내도서-가정 살림
6,9788960511194,4242688,그들이 말하지 않는 23가지,"13,320원",740원,장하준/김희정/안세민,부키,"『나쁜 사마리아인들』에서 장하준 교수는 자유 무역이 진정 개발도상국에게도 도움이 되는지, 경제를 개방하면 외국인 투자가 정말 늘어나는지, 공기업 문제가 과연 민영화로 해결 가능한지 등 우리 시대의 현안들에 대해 우리에게 널리 알려진 책이나 영화 등을 소재로 유쾌하면서도 신랄하게 답해주었다. 이번 신작 『자본주의에 대해 말하지 않는 23가지』은 『나쁜 사마리아인들』의 후속격으로 ‘나쁜 사마리아인들’ 이후 그에게 쏟아진 일반 독자의 경제 및 현안에 대한 궁금증을 모아 이에 답을 하는 형식으로 구성되어 있다.",1,국내도서-경제 경영
7,9788984056503,4664624,실행이 답이다,"12,600원",700원,이민규,더난출판사,"지금까지 당신이 알고 있던 생각뿐인 ‘성공 공식’을 뒤집어라 꿈을 이루는 사람과 그렇지 못한 사람의 차이는 무엇일까? 답은 딱 하나, '실행'이다. 실행하지 않은 머리속 생각은 아무런 결과를 가져오지 않는다. ‘1% 행동 심리학자’로 불리는 저자 이민규는 이 책 『실행이 답이다』를 통해 ‘실행’을 ‘달성하는 법’ 즉 ‘실행력’ 부족을 개선하기 위한 사고방식과 실행 노하우를 설명한다.",1,국내도서-자기계발
8,9788963705040,4729073,빌딩부자들,"11,700원",650원,성선화,다산북스,"'강남 대로변에 우뚝 솟은 수백억대 빌딩의 주인은 도대체 누굴까? 매달 월세수입만 수천, 수억을 버는 사람들의 삶은 어떨까?'라는 단순한 호기심에서 빌딩부자들에 대한 조사를 시작한 저자는 처음엔 그들이 대부분 '유산 상속자'일 것이라 생각했다. 하지만 진실은 달랐다. 자수성가형 빌딩부자부터 사업성공형, 유산상속형 등 여러 유형의 빌딩부자가 있었지만 그들은 모두 누구보다 발품을 많이 팔고, 지독하리만큼 절약했으며 부자의 꿈을 이루기 위해 집요하게 실천해온 사람들이었다.",2,국내도서-경제 경영
9,9788991239685,4617244,백설공주에게 죽음을,"12,420원",690원,넬레 노이하우스/김진아,북로드,폐쇄적 분지 마을에서 일어나는 일련의 사건과 그 속에 숨은 인간 내면의 추악한 본성. 이를 파헤치는 매력적인 형사 콤비의 활약상이 펼쳐진다! 냉철한 카리스마 수사반장 보덴슈타인과 남다른 직관으로 사건을 풀어가는 감성 형사 피아 콤비가 등장하는 타우누스 시리즈. 이 시리즈로 인기 작가 반열에 올라선 넬레 노이하우스는 그 네 번째 작품인 『백설공주에게 죽음을』을 통해 자신이 사는 독일의 작은 마을 타우누스를 배경으로 긴장감 있고 밀도 높은 미스터리를 그려낸다.,1,국내도서-소설/시/희곡
10,9788993964264,4721323,고구려 1,"11,520원",640원,김진명,새움,"『무궁화꽃이 피었습니다』의 작가 김진명이 선보이는 필생의 역작. 속도감 있는 전개와 치밀한 구성으로 빚어낸 또 하나의 고구려. 현실과 픽션을 넘나들며 펼치는 과감하고 흥미진진한 이야기로 대한민국 역사소설의 새로운 장을 연 작가 김진명. 그가 데뷔 당시부터 숙원해온 작품 『고구려』를 들고 새롭게 독자들을 찾는다. 오래전부터 기획되었던 김진명의 『고구려』는 고구려 역사 중 가장 극적인 시대로 손꼽히는 미천왕 때부터 고국원왕, 소수림왕, 고국양왕, 광개토대왕까지 다섯 왕의 이야기를 그릴 예정이다. 그중 이번에 출간된 1~3권은 미천왕의 일대기를 담았다. 이 책은 작가 김진명이 그간의 작품들에서 선보여왔던 통쾌한 역사 해석과 끝까지 긴장감을 놓을 수 없게 만드는 짜임새 있는 구성을 그대로 담고 있으며, 개성 있는 인물의 등장과 박진감 넘치는 상황 묘사로 역사상 가장 강력했던 나라 '고구려'의 이야기를 극적으로 풀어내 흥미를 더한다.",1,국내도서-소설/시/희곡
11,9788947527934,4668550,바보 빅터,"12,600원",700원,호아킴 데 포사다/레이먼드 조/전이수,한국경제신문사(한경비피),"우리는 모두 빛나는 날개를 가지고 있다. 잠시 접어둔 그 날개가 반드시 당신이 그리는 꿈에 당신을 데려다 줄 것이다! 『마시멜로 이야기』의 작가 호아킴 데 포사다가 들려주는 감동적인 희망과 긍정의 이야기. 저자는 훗날 국제멘사협회 회장이 된 빅터 세리브리아코프가 17년 동안 바보로 살았던 실화와, '못난이 콤플렉스'로 힘겨운 삶을 살았던 트레이시라는 여성의 실제 사연을 바탕으로 한 로라의 이야기로 다수의 독자들에게 우리 인생의 가장 위대한 진실에 대해 풀어놓는다.",1,국내도서-에세이
12,9788970652566,4583595,"사랑합니다, 감사합니다","12,420원",690원,고도원,홍익출판사,"자신을 긍정하고 사랑하는 순간, 당신의 가장 가까이에 있는 행복을 만나게 된다. 매일 아침 지친 현대인들에게 희망과 행복의 메시지를 전하는 고도원 작가의 에세이집. 『사랑합니다, 감사합니다』를 통해 일상에 깃들어 있는 진짜 행복에 대해 말하는 저자는 자기 자신과 원활하게 소통하는 것이 세상에 자신을 세우고 진정한 성공을 이룰 수 있는 길이라 말하며, 자기긍정의 힘이 최고의 행복을 만드는 원동력임을 깨닫게 한다. 사랑합니다. 감사합니다.",3,국내도서-에세이
13,9788958073215,4677194,십대를 위한 재미있는 어휘 교과서,"9,900원",550원,서보건,뜨인돌,"서울시교육청이 「창의적 계발을 위한 평가 개선 기본 계획」을 발표했다. 3가지 핵심 추진 과제 중 첫 번째가 ‘서술형 평가 문항 확대’다. 초등학교 3학년부터 고등학교 3학년을 대상으로 중간ㆍ기말고사에서 올해는 40%, 2012년에는 50%까지 서술형 평가 문항의 반영 비율을 높이겠다고 했다. 서술형 문항의 비중이 높아지면 깊이 있게 사고하고 머릿속 생각을 논리적으로 기술하는 능력이 중요해진다. 다양한 분야를 넘나들며 통합적으로 사고하는 힘, 생각을 정확한 단어로 조리 있게 풀어내는 힘이 필요한 것이다.",1,국내도서-청소년
14,9788990700346,2140120,해커스 토익 보카 Vocabulary,"12,250원",130원,데이비드 조,해커스어학연구소,"주제별 연상학습 기능을 수행하는 구성으로 30일만에 토익 기출 단어를 섭렵할 수 있도록 하고 있다. 파트별 선별 학습으로 자신의 취약파트를 전략적으로 강화할 수 있도록 하였고, 반복 학습을 위한 엄선된 퀴즈와 실전문제를 통해, 효율적으로 학습할 수 있도록 하였다. 해커스토익 사이트(www.hackers.co.kr)와 챔프스터디 사이트(www.champstudy.com)를 통해 피드백과 온라인 자료를 받을 수 있도록 하였고, 다양한 MP3 버전을 통해, 입체적인 공부를 할 수 있도록 하였다.",3,국내도서-국어 외국어 사전
