순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788971848784,6689611,주기자,"12,150원",130원,주진우,푸른숲,"주진우 기자가 세상의 더럽고 추악한 권력을 향해 거침 없이 달려드는 이야기 ""주기자!"" 언론, 삼성, 검찰과 경찰, MB정부, 친일파, 사회적 약자들까지 모두 다룬 정통시사활극! 이 책은 기사만으로는 알 수 없는 주진우 기자의 좌충우돌 취재에 대한 기록이다. 모두가 달콤한 밥상 앞에서 입을 닫을 때 추악한 권력에 맞서 온몸으로 싸운 한 기자의 이야기다. 권력을 쥔 자들의 횡포에 맞서는 타협 없고 저돌적이며 뚝심 있는. 동시에 세상 그늘 진 곳의 소리에 귀 기울이며 고군분투해온 한 남자의 이야기이다. 그는 마치",1,국내도서-사회 정치
2,9788965700609,6190758,"멈추면, 비로소 보이는 것들","12,600원",700원,혜민/이영철,쌤앤파커스,"사람들에게 치여 상처받고 눈물 날 때, 그토록 원했던 일이 이루어지지 않았을 때, 사랑하던 이가 떠나갈 때… 우리는 끊임없이 좌절의 순간을 맞으며 매일을 살아간다. 하지만 경쟁이 미덕이고, 일등만이 기억되는 이 사회에서 나의 ‘힘듦’을 내보이기란 쉬운 일이 아니다. 남들이 그러는 것처럼 세상 탓을 조금 하다가, ‘녹록치 않은 세상 살이, 나만 힘든게 아니지’ 라고 스스로를 다독이고 분주한 일상으로 돌아와 또 다시 ‘열심히’ 살고 있지는 않은지. 하지만 『멈추면, 비로소 보이는 것들』이 있다. 하버드 재학 중 출가하여 한국인 승려 최초로 미국 대학교수가 된 혜민 스님은, 이 바쁜 세상에서 잠시 멈추고 나를 사랑하는 시간을 가질 것을 권한다. 관계에 대해, 사랑에 대해, 마음과 인생에 대해, 머리로는 알지만 마음으론 잘 안 되는 문제들을 차근차근 해결해 나갈 수 있도록 돕는 그의 조언은 마음을 튼튼하게 하는 한 첩의 보약과도 같다.",3,국내도서-에세이
3,9788950936358,6669855,마법천자문 21,"8,820원",490원,김현수/홍거북/김창환,아울북,"어른들도 알쏭달쏭한 한자들을 『마법천자문』 독자들은 술술 막힘 없이 읽어 갑니다. 단순히 아이들이 어른들 보다 배우는 속도가 빠르기 때문일까요? 비결은 '반복 학습'입니다. 두 번, 세 번 반복되는 『마법천자문』의 이미지 학습법입니다. 『마법천자문』은 각 권에 등장하는 새로운 한자 20자를 소개하면서 앞 권에서 배운 한자를 50회 이상 반복 학습할 수 있도록 기획되어 있습니다. 아이들이 책에 나오는 한자를 완벽하게 구사하기에 20자는 결코 적지 않습니다.",3,국내도서-어린이
4,9788950935665,6269335,남자의 물건,"13,500원",750원,김정운,21세기북스,"대한민국 남자를 행복하게 만드는 통쾌한 공감 프로젝트! 존재확인의 문화심리학, 『남자의 물건』 『나는 아내와의 결혼을 후회한다』,『노는 만큼 성공한다』를 통해 현대인들의 여가와 재미의 필요성을 인문·심리학적으로 흥미롭게 풀어낸 바 있는 김정운 교수. 그는 이 책에서 대한민국 남자들의 삶에 주목한다. 불안하고 갑갑한 대한민국 남자들의 진정성 있는 이야기를 통해 독자들 또한 자신의 이야기를 꺼낼 수 있도록, 그래서 자신의 존재 의미에 대한 확신을 갖도록 한다.",2,국내도서-자기계발
5,9788954610681,3772727,은교,"12,150원",670원,박범신,문학동네,"거부할 수 없는 홀림, 그 관능을 좇는 어느 시인의 음악적 살인 인간의 '갈망'을 그려낸 박범신의 신작 장편소설 영혼의 리얼리티를 추구하는 작품들을 통해 인생의 깊은 심연을 그려온 작가 박범신. 『은교』에 대해 작가는 『촐라체』와 『고산자』와 함께 ‘갈망의 삼부작(三部作)’이라고 소개한다.",1,국내도서-소설/시/희곡
6,9791196045500,5982086,어떻게 원하는 것을 얻는가 밀리언 특별판,"14,400원",800원,스튜어트 다이아몬드/김태훈,8.0(에이트 포인트),"수없이 많은 찬사와 사례로 검증된 전설적 강의록, 20년 연속 와튼스쿨 최고 인기강의 선정 기념! 밀리언 특별판 출간! 2011년 11월 말 국내 출간되어 전국 서점가에 ‘협상’ 바람을 불러일으키고 이듬해인 2012년 ‘올해의 책’으로 선정된 뒤 지금까지도 스테디셀러로 무수한 독자들을 만나온 책, 연간 5만 달러가 넘는 MBA 학비를 내고도 쉽게 들을 수 없는 수업을 단 한 권으로 정리해 놀라움을 산 책, 매년 그 기록을 갱신하며 ‘20년 연속 와튼스쿨 최고 인기강의’라는 명예의 전당에 선 책! 『어떻게 원하는 것을 얻는가』를 꼭 6년 만에 밀리언 특별판으로 다시 선보입니다.",1,국내도서-자기계발
7,9788960865273,6516084,하루 15분 정리의 힘,"12,420원",690원,윤선현,위즈덤하우스,"국내 1호 정리 컨설턴트에게 제대로 배운다! tvN 「화성인 바이러스」 난장판녀 편에 출연해 컨설팅 모습을 보여주면서 큰 이슈가 된 국내 1호 정리 컨설턴트 윤선현 베리굿정리컨설팅 대표. 그가 전하는 그동안 우리가 몰랐던 정리 컨설팅 책이다. 저자는 한국의 수많은 정리 컨설팅 사례를 통해 그동안 우리가 정리에 대해 잘못 알고 있었던 점들을 바로 짚어주고, 쉽고 간단한 정리 습관을 체계적으로 익힐 수 있도록 돕는다.",1,국내도서-자기계발
8,9788965700036,4447549,아프니까 청춘이다,"12,600원",700원,김난도,쌤앤파커스,"아프고 어렵기 때문에 좋은 것, 청.춘. 수많은 청춘의 마음을 울린 김난도 교수의 인생 강의실 서울대학교 학생들이 뽑은 최고의 명강의의 주인공 김난도 교수가 들려주는 영혼을 울리는 따뜻한 위로의 이야기, 머리를 내리치는 따끔한 죽비 같은 이야기를 들려준다. 부단히 스펙을 쌓고 취업관문을 두드리고 사회초년생으로서 적응해가고 있지만, 미래는 여전히 한 치 앞을 내다볼 수 없는 한국의 청춘들에게 전하는 위로와 격려의 메시지다.",3,국내도서-에세이
9,9788996746416,6262207,나는 까칠하게 살기로 했다,"13,500원",750원,양창순,센추리원,"자존감을 지키며 건강한 인간관계를 유지하는 법 상처받지 않고 사람을 움직이는 관계의 심리학 자신의 자존감을 지키면서도 사람의 마음을 움직이는 심리적 방법을 다양한 임상 사례와 심리학 이론을 통해 쉽고 재미있게 풀어, 우리 일상에 바로바로 적용할 수 있도록 소개한 책이다.",3,국내도서-자기계발
10,9788965960232,6455944,"앞으로 10년, 돈의 배반이 시작된다","13,500원",750원,로버트 기요사키/고영태,흐름출판,"『부자 아빠, 가난한 아빠』 로버트 기요사키가 말하는 앞으로 10년 경제위기를 준비하는 우리들의 자세 『부자 아빠, 가난한 아빠』의 저자 기요사키, 그가 이번에는 세계 경제에 대한 경고의 메시지를 전한다. 책은 2008년 금융위기 이후 세계 경제 위기의 2막이 시작되었음을 경고하면서 우리가 어떻게 대비해야 하는지를 일러준다.무엇보다 자본주의에 대해 비판만 하는 이들과는 달리 우리가 실제로 무엇을 준비해야 하는지를 설명한다.",1,국내도서-경제 경영
11,9788960512122,6425105,무엇을 선택할 것인가,"13,410원",740원,장하준/정승일/이종태,부키,"『그들이 말하지 않는 23가지』 『나쁜 사마리아인들』 등으로 100만 독자를 열광시킨 바 있는 장하준 케임브리지대 교수가 『쾌도난마 한국경제』 이래 만 7년 만에 정승일 복지국가소사이어티 정책위원, 이종태 시사인 경제국제팀장과 함께 한국 경제에 대해 거침없는 직설을 펼친다. 2012년의 중요한 갈림길에서 이명박 정부의 우파 신자유주의에 대한 반발이, 이미 실패로 검증된 좌파 신자유주의로 회귀할 우려 때문이다.",2,국내도서-경제 경영
12,9788952764812,6589789,아이의 정서지능,"13,950원",770원,황준성/홍주영/곽윤정,지식채널,"세기의 리더들은 모두 정서지능형 인재이다. 정서지능은 미래의 꿈을 위해 현재를 이겨내는 힘을 길러준다! ‘정서지능이란 무엇이고, 왜 중요하며, 우리 아이들의 정서지능을 높일 수 있는 방법은 과연 무엇인가?’라는 질문에 구체적인 해법을 제시한다.",1,국내도서-가정 살림
13,9788901144023,6692357,뜨거운 노래는 땅에 묻는다,"13,500원",750원,최평규,리더스북,"S&T그룹 최평규 회장의 카리스마 경영 스토리. 최평규 S&T그룹 회장은 세계적인 중소기업인으로 성공한 데에 머물지 않고 외환위기 이후 한국 기계공업이 맞이한 현실을 시대의 소명으로 여기고 받아들였다. 2003년 통일중공업, 2006년 대우정밀, 2007년 효성기계를 차례로 인수하고 경영정상화를 이뤄냈다. 현재 국내외 20개 계열사를 가진 기계공업 그룹을 경영하고 있다. 그는 현장경영인이다. 지금도 작업복이 편하다. 늘 직원들과 함께 사내식당에서 밥을 먹고 저녁이면 함께 소주잔을 기울이며 소통한다.",3,국내도서-경제 경영
14,9788934956150,6681343,생각에 관한 생각,"19,800원","1,100원",대니얼 카너먼/이진원,김영사,"2002년부터 기다려왔던 단 한 권의 책, 행동경제학과 인지심리학의 바이블! 사상 최초로 노벨 경제학상을 수상한 천재 심리학자가 밝혀낸, 누구도 생각지 못했던 인간의 2가지 사고체계-‘빠른 직관’과 ‘느린 이성’의 충돌과 융합을 독창적 사례 분석으로 도출해낸 불후의 명저이다. 300년 전통경제학의 프레임을 완전히 뒤엎은 행동경제학의 창시자 대니얼 카너먼의 첫 대중교양서이자, 행동경제학의 기원과 탄생, 발전 과정을 한눈에 통찰하는 혁명적 역작이다.",3,국내도서-경제 경영
15,9788954617437,6322199,화차,"12,420원",690원,미야베 미유키/이영미,문학동네,"‘이 미스터리가 대단하다!’ 역대 20년 총결산 1위 일본 미스터리의 여왕 미야베 미유키의 대표작! 자타가 공인하는 미야베 미유키의 사회파 미스터리 걸작 『화차』가 문학동네에서 새로운 번역으로 재출간된다. 기존 번역본에서 빠지거나 축약되었던 부분을 최대한 원문에 가깝게 되살려낸 결과 원고지 500매 정도의 분량이 추가된 완역본으로, 미야베 미유키 특유의 인간적이고 세심한 필치, 치밀한 구성력을 한층 생생하게 맛볼 수 있다.",1,국내도서-소설/시/희곡
16,9788901142654,6648627,나는 세계일주로 자본주의를 만났다,"12,600원",700원,코너 우드먼/홍선영,갤리온,"중국 폭스콘 공장에서 아프가니스탄 마약 생산지까지 세상에서 가장 위험한 자본주의 체험기 세계일주로 경제를 배웠던 코너 우드먼이 이번에는 공정거래의 과정을 역추적하는 여행을 떠난다. 카메룬, 콩고, 니카라과, 아프가니스탄, 라오스, 중국 등 세계에서 가장 위험한 나라들을 목숨 걸고 돌아보고 그들의 현실과 대기업의 비윤리성을 있는 그대로 폭로한다.",3,국내도서-경제 경영
17,9788984056725,6708052,인생이 빛나는 정리의 마법,"11,700원",650원,곤도 마리에/홍성민,더난출판사,"“설레지 않으면 버려라!” 일본 170만 부 판매 돌파! 미국 아마존 종합 베스트 1위! 전 세계를 휩쓴 정리의 마법 열풍! 인생이 반짝반짝 빛나는 곤도 마리에 식 마법의 정리법 잡동사니에 파묻혀 사는 당신에게 권하는 단 한권의 책! 단순히 청소를 하지 않아서 주변이 어지러운 것은 아니다. 어지러운 주위 환경은 당신의 인생 앞에 놓인 장애물과도 같다. 이와 마찬가지로 눈앞에 놓인 물건을 무조건 가리고 숨기는 것보다는 ‘물건과 나와의 감정적인 관계를 설정해서 불필요한 물건은 과감하게 버리고, 남긴 물건은 소중히 여기는 자세가 필요하다. 정리는 매일매일, 평생 해야 하는 것이 결코 아니다. 이 책의 저자인 일본 최고의 정리 컨설턴트 곤도 마리에는 “정리가 잘되면 스트레스가 없어지고 회사와 가정에서 성공과 행복이 찾아오게 된다”고 말하며 정리의 중요성을 주장한다.",3,국내도서-자기계발
18,9788996347255,6661465,2~11세 아이가 있는 집에 딱 좋은 가족밥상,"12,420원",690원,김정미,레시피팩토리(단행),"인기 블로거이자 네이버 대표 육아카페 마더스의 매니저, 마더스고양이의 두 번째 요리책. [아기가 잘 먹는 이유식은 따로 있다]를 통해 이유식을 어떻게 해야 할지 알려주었다면, 이번 책에서는 이유식을 끝낸 2세부터 식습관이 완성되는 11세까지 아이를 포함한 온 가족에게 무엇을 먹여야 할지 꼼꼼히 짚어주고 있다. 저자는 실제 본인이 하고 있는 것처럼 유아식과 부모식사를 함께 준비하라고 적극 권하고 있다.",1,국내도서-가정 살림
