순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788934939603,3863865,정의란 무엇인가,"13,500원",750원,마이클 샌델/이창신,김영사,"20년 간 하버드대 최고의 명강의로 손꼽히는 정치철학자 샌델의 '정의(Justice)'는 '정의란 무엇인가'라는 질문에 대한 해답을 찾는 과정에서 나타나는 딜레마를 다룬다. 책은 여러 논쟁을 통해, 우리가 시민으로 살면서 부딪히는 어려운 질문들을 설득력있게 풀어간다.",1,국내도서-사회 정치
2,9788960511194,4242688,그들이 말하지 않는 23가지,"13,320원",740원,장하준/김희정/안세민,부키,"『나쁜 사마리아인들』에서 장하준 교수는 자유 무역이 진정 개발도상국에게도 도움이 되는지, 경제를 개방하면 외국인 투자가 정말 늘어나는지, 공기업 문제가 과연 민영화로 해결 가능한지 등 우리 시대의 현안들에 대해 우리에게 널리 알려진 책이나 영화 등을 소재로 유쾌하면서도 신랄하게 답해주었다. 이번 신작 『자본주의에 대해 말하지 않는 23가지』은 『나쁜 사마리아인들』의 후속격으로 ‘나쁜 사마리아인들’ 이후 그에게 쏟아진 일반 독자의 경제 및 현안에 대한 궁금증을 모아 이에 답을 하는 형식으로 구성되어 있다.",1,국내도서-경제 경영
3,9788965700036,4447549,아프니까 청춘이다,"12,600원",700원,김난도,쌤앤파커스,"아프고 어렵기 때문에 좋은 것, 청.춘. 수많은 청춘의 마음을 울린 김난도 교수의 인생 강의실 서울대학교 학생들이 뽑은 최고의 명강의의 주인공 김난도 교수가 들려주는 영혼을 울리는 따뜻한 위로의 이야기, 머리를 내리치는 따끔한 죽비 같은 이야기를 들려준다. 부단히 스펙을 쌓고 취업관문을 두드리고 사회초년생으로서 적응해가고 있지만, 미래는 여전히 한 치 앞을 내다볼 수 없는 한국의 청춘들에게 전하는 위로와 격려의 메시지다.",3,국내도서-에세이
4,9788950926298,4212690,생각 버리기 연습,"10,800원",600원,코이케 류노스케/유윤한,21세기북스,"생각하지 않고 오감으로 느끼면 어지러운 마음이 서서히 사라진다. 코이케 류노스케 스님이 전하는 생각 버리기 연습 우리를 괴롭히는 잡념의 정체를 짚어내며, 일상에서 바로 실천할 수 있는 생각 버리기 연습을 제시하는 책. 현재 일본에서 생각을 버리는 법에 대해 강연을 하며 폭발적인 인기를 얻고 있는 저자는 우리가 생각을 멈추기 어려운 이유를 이렇게 설명한다. 우리의 뇌는 자극을 추구한다.",3,국내도서-자기계발
5,9788949140889,1505514,이상한 나라의 앨리스,"9,000원",500원,루이스 캐롤,비룡소,"어느 따분한 날, 앨리스는 회중시계를 꺼내 보는 토끼를 따라 이상한 나라로 들어간다. 그곳에서 앨리스는 몸이 커지기도 하고 작아지기도 한다. 눈물의 연못에 빠지기도 하고 기묘한 동물들과 만나는 등 우습고도 황당한 일을 겪는다. 담배 피우는 애벌레, 가발 쓴 두꺼비, 체셔 고양이 같은 희한한 동물들과 이야기를 나누고 프럼프 나라에 가서 여왕과 함께 크로케 경기도 한다. 이상한 나라에는 말도 안 되는 일들이 한없이 뒤죽박죽 얽혀 있다....",1,국내도서-어린이
6,9788959136100,4507726,Their Rooms 우리 이야기,"24,300원",270원,JYJ,예담,"《JYJ 뮤직에세이 Their Rooms에 수록된 음반 CD 안내》 음반 6번 트랙의 CD가 튀는 현상으로 느껴지는 묵음 부분은 저작자의 기획의도에 따라 제작된 것으로 CD상의 결함이 아님을 알려드립니다. JYJ 멤버들의 자작곡뿐만 아니라 그들이 직접 쓴 에세이와 습작, 그들의 일상을 담은 포토 다이어리를 수록했다. ※ 예스24 판매수량은 한터차트에 100% 반영됩니다.",3,국내도서-예술-대중문화(통합)
7,9788954613026,4346834,리딩으로 리드하라,"13,500원",750원,이지성,문학동네,"개인, 가족, 기업, 국가의 운명을 변화시키는 인문고전 독서의 가공할 위력! 아인슈타인, 뉴턴, 처칠, 에디슨이 사고뭉치에서 위대한 천재로 탈바꿈한 비결, 둔재들만 가던 소문난 삼류학교 ‘시카고 대학’이 노벨상 왕국이 된 사연, 카네기, 워런 버핏, 이병철, 정주영이 황금 손이 될 수 있었던 밑바탕, 알렉산더, 세종과 정조, 당 태종과 도쿠가와 이에야스 등 희대의 국가 경영자들의 공통점, 그 비밀은 모두 인문고전 독서에 있었다.",3,국내도서-자기계발
8,9788984371071,4423134,종이 여자,"10,800원",600원,기욤 뮈소/전미연,밝은세상,"베스트셀러 작가와 그의 소설 속 여주인공의 색다른 사랑 이야기 기욤 뮈소다운 기발한 착상과 놀라운 결말이 돋보이는 장편소설 데뷔후 발표하는 신간마다 프랑스 베스트셀러 1위에 오르고, 최단기간 1천만 부 판매고를 기록하며 프랑스를 대표하는 젊은 작가로 평가받는 기욤 뮈소의 일곱 번째 장편소설 『종이 여자』. 복잡한 수식이나 특별한 수사법에 기대지 않고 본능적으로 서스펜스를 빚기도 하고, 복잡다단한 이야기를 빠르고 경쾌한 흐름 속에서 일관되게 통합해내는 '기욤 뮈소스러운' 소설이 다시금 탄생했다.",1,국내도서-소설/시/희곡
9,9788954612999,4262124,브리다,"10,800원",600원,파울로 코엘료/권미선,문학동네,"우리에겐 꼭 만나야 할 단 하나의 '운명'이 있다 ‘마법의 이야기꾼’ 파울로 코엘료가 들려주는 운명과 사랑에 관한 가장 아름다운 이야기 자아의 신화를 찾아가는 영혼의 연금술을 그린 『연금술사』의 작가 파울로 코엘료가 이번에는 운명과 사랑에 관한 가장 아름다운 이야기를 들려준다. “당신은 이 삶에서 무엇을 찾고 있나요?” 마음 깊이 스며들어 영혼을 채우는, 빛으로 가득한 발견의 여정을 그린 이 작품에서 스무 살 브리다가 우리 생에 가장 근원적인 질문을 던진다.",1,국내도서-소설/시/희곡
10,9788984812963,3410163,친구가 되어 주실래요?,"11,700원",650원,이태석,생활성서사,"의술로, 음악으로 사랑 나누는 선교 사제 쫄리 신부의 아프리카 이야기 한 수도 사제의 아프리카 사랑 이야기이다. 물질적 가난을 풍요로 바꾸어 줄 수 없지만 그 고통과 가난을 함께하며 사는 신부의 삶이 감동적으로 그려진다. 사제라는 신분을 넘어 서서 평범한 이웃의 한 사람으로, 아픈 곳을 살피고 치료해 주는 의사로, 그리고 다양한 악기와 즐거운 노래를 가르치는 음악 선생님으로, 가난한 이들의 친구로 살아가는 저자의 체험이 담긴 따뜻하고 감동적인 휴먼 에세이이다.",3,국내도서-종교
