순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788971993873,3787802,운명이다,"13,500원",750원,노무현/유시민/사람사는세상 노무현재단,돌베개,"노무현 전 대통령의 서거 1주기를 맞이해 고인이 남긴 저서와 미발표 원고 등 각종 인터뷰와 구술 기록을 토대로, 출생부터 서거에 이르기까지 인생역정 전체를 정리한 '정본' 자서전이다. 기록을 일관된 문체로 정리하는 작업은 유시민 전 장관이 맡았다.",3,국내도서-사회 정치
2,9788947527545,3801126,스눕,"14,400원",800원,샘 고슬링/김선아,한국경제신문사(한경비피),"당신의 물건이 당신의 모든 것을 말해준다! 척 보면 아는 '통찰의 예술' 지난 10년 동안 인간이 어떻게 숨겨진 자신의 내면을 외부로 투영 또는 감추려 하는지에 관해 연구하고, 기발하고 독특한 연구 성과로 전미 심리학회의 주목을 받고 있는 저자인 샘 고슬링 박사가 쓴 개인과 관련된 장소를 통해 개인의 성향이나 이미지를 파악할 수 있는 노하우를 다양한 사례로 소개하는 책이다.",2,국내도서-자기계발
3,9788901106984,3776409,스위치,"13,500원",750원,칩 히스/댄 히스/안진환,웅진지식하우스,전 세계 CEO가 열독한 『스틱』의 저자이자 금세기 최고의 조직행동론 전문가로 꼽히는 칩 히스와 댄 히스가 이번에는 ‘성공적인 변화’를 이끌어 내는 법을 알려준다. 『스위치』는 조직심리학과 행동경제학의 최신 연구와 수많은 성공사례를 바탕으로 원하는 결과를 이끌어내기 위한 새로운 행동설계를 제안함으로써 성공적인 자기계발을 일구어 낼 수 있도록 도와준다. 『스위치』에서는 불가능해 보이는 상황 속에서도 간단하지만 놀라운 변화들을 보여준다.,1,국내도서-경제 경영
4,9788954611275,3848527,어디선가 나를 찾는 전화벨이 울리고,"10,350원",570원,신경숙,문학동네,"""살아 있으라, 마지막 한 모금의 숨이 남아 있는 그 순간까지 이 세계 속에서 사랑하고 투쟁하고 분노하고 슬퍼하며 살아 있으라."" 『엄마를 부탁해』 그 이후, 신경숙의 신작 장편소설 청춘은 사랑의 기쁨과 상실의 아픔, 달랠 길 없는 불안과 고독의 순간들이다. 인생의 가장 아름답고 파랗게 빛나는 이 시기에, 우리는 가장 크게 웃고, 울고, 기뻐하고, 좌절하며, 사랑하고, 헤어지고, 그러면서 성장한다. 우리가 '청춘'이라고 부르는 순간은 태어나서 살고 죽는 사이에 가장 찬란한 순간.",1,국내도서-소설/시/희곡
5,9788973370597,3787382,아불류 시불류 我不流 時不流,"13,050원",720원,이외수/정태련,해냄,"이외수의 비상법, 我不流 時不流 “내가 흐르지 않으면 시간도 흐르지 않는다” 『하악하악』으로 60만 독자를 사로잡은 이외수 작가의 신작 에세이. ‘이외수의 비상법’ 『아불류시불류』는 “내가 흐르지 않으면 시간도 흐르지 않는다”라는 작가의 글을 핵심적인 표현으로 정리한 제목으로, “그대가 그대 시간의 주인이다”라는 메시지를 담고 있다. ""그대가 그대 시간의 주인이다 무엇이 푸르냐고 나에게 묻지 말라. 그대가 푸른 것이 곧 진실이다.",1,국내도서-에세이
6,9788932910413,3726728,파라다이스 1,"8,820원",490원,베르나르 베르베르/임희근,열린책들,"더욱 기상천외한 이야기로 돌아온 베르나르 베르베르 있을법한 과거와 미래 이야기를 통해 '만약에' 세상 속으로! 톨스토이, 셰익스피어, 헤르만 헤세 등과 함께 한국인이 가장 좋아하는 외국 작가로 선정된 바 있는 베르나르 베르베르가 기상천외한 상상력으로 써내려간 이야기를 가지고 돌아왔다. 『개미』, 『타나토노트』, 『신』 등 발표하는 책마다 특유의 상상력으로 흡입력있는 이야기를 들려주었던 베르나르 베르베르.",3,국내도서-소설/시/희곡
7,9788970636511,3728405,지성에서 영성으로,"15,300원",850원,이어령,열림원,"한국의 대표적 논객, 이어령의 신앙 고백기 우리 사회의 대표적 논객 이어령이 어떤 과정을 통해서 지적 영역에서 영적 영역으로 옮겨오게 되었는지를 서술한 책이다. '저항의 문학'을 기치로 내세우는 등, 저자는 문단의 역동성과 용기를 강조하며 지성인에게 경종을 가해 왔다. 그러던 그가 지적 영역에 아닌 영적 영역의 중요성을 역설하며 그리스도교인으로 거듭나며 예수의 길을 따르기 시작했다. 그는 어떤 내면적인 번뇌와 성찰을 거쳤을까.",3,국내도서-종교
8,9788995904961,3128475,아름다운 마무리,"10,350원",580원,법정,문학의숲,"읽고 또 읽어도 좋다. 법정 스님의 새 산문집! 몇 번을 읽어도 항상 새로운 울림과 깨달음을 주는 법정 스님의 산문집. 1년 전, 병으로 삶과 죽음의 경계를 넘나들었던 스님이 우리에게 전하는 메시지는, '삶은 순간순간이 아름다운 마무리이자 새로운 시작이어야 한다'는 것이다. 상처 입은 이에겐 따뜻한 위안을, 방향을 잃고 흔들리는 이에겐 당당한 삶의 길을 제시하는 귀한 책.",3,국내도서-에세이
9,9788925538129,3794289,화폐 전쟁 2,"18,000원","1,000원",쑹훙빙/홍순도/박한진,랜덤하우스코리아,"『화폐 전쟁』으로 2009 중국대륙 최대 베스트셀러를 기록한 쑹훙빙 교수가 『화폐 전쟁 2』로 독자들을 다시 만난다. 미국을 중심으로 달러 및 금본위제와 관련된 국제 금융 엘리트의 음모를 밝힌 전편에 이어 쑹훙빙 교수는 이번엔 300년간 세계를 지배해온 유럽과 미국의 17개 주요 금융 가문의 형성 및 발전, 합종연횡의 과정을 철저하게 추적함으로써 현 시대의 국제 경제를 조망한다.",1,국내도서-경제 경영
10,9788963895475,3805315,마켓 3.0,"12,600원",700원,필립 코틀러/안진환,타임비즈,"‘3.0 시장’을 선점하는 자, 그 누가 될 것인가? 우리 곁에 성큼 다가온 미래를 관통해, 우리가 갈 길을 통찰하게 해주는 가장 확실한 가이드! 마케팅의 아버지라 불리며, 새로운 시장의 판도와 그것을 돌파하는 기업과 개인을 위한 통찰을 제시해왔던 필립 코틀러. 이제까지의 모든 저작의 완성판이라 할 만한하다는 평을 받는 신작『마켓 3.0』에서는 변화하는 트렌드 속에서 현재의 시장을 대체해가고 있는 ‘3.0 시장’이라는 미래의 청사진을 제공한다.",3,국내도서-경제 경영
