순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788965962823,64610518,골든아워 1,"14,220원",790원,이국종,흐름출판,"외상외과 의사 이국종 교수가 눌러쓴 삶과 죽음의 기록이다. 저자는 17년간 외상외과 의사로서 맞닥뜨린 냉혹한 현실, 고뇌와 사색, 의료 시스템에 대한 문제의식 등을 기록해왔다. 때로는 짧게 때로는 길게 적어 내려간 글은 그동안 ‘이국종 비망록’으로 일부 언론에 알려졌다. 그 기록이 오랜 시간 갈고 다듬어져 두 권의 책(1권 2002-2013년, 2권 2013-2018)으로 출간됐다. 이국종 교수의 『골든아워』는 대한민국 중증외상 의료 현실에 대한 냉정한 보고서이자, 시스템이 기능하지 않는 현실 속에서도 생명을 지키려 애써온 사람들-의료진, 소방대원, 군인 등-의 분투를 날 것 그대로 담아낸 역사적 기록이다.",1,국내도서-에세이
2,9788965962830,64610523,골든아워 2,"14,220원",790원,이국종,흐름출판,"외상외과 의사 이국종 교수가 눌러쓴 삶과 죽음의 기록. 저자는 17년간 외상외과 의사로서 맞닥뜨린 냉혹한 현실, 고뇌와 사색, 의료 시스템에 대한 문제의식 등을 기록해왔다. 때로는 짧게 때로는 길게 적어 내려간 글은 그동안 ‘이국종 비망록’으로 일부 언론에 알려졌다. 그 기록이 오랜 시간 갈고 다듬어져 두 권의 책(1권 2002-2013년, 2권 2013-2018년)으로 출간됐다. 이국종 교수의 『골든아워』는 대한민국 중증외상 의료 현실에 대한 냉정한 보고서이자, 시스템이 기능하지 않는 현실 속에서도 생명을 지키려 애써온 사람들-의료진, 소방대원, 군인 등-의 분투를 날 것 그대로 담아낸 역사적 기록이다.",1,국내도서-에세이
3,9791196394509,61779464,죽고 싶지만 떡볶이는 먹고 싶어,"12,420원",690원,백세희/댄싱스네일,흔,"기분부전장애(가벼운 우울 증상이 지속되는 상태)를 가진 저자와 정신과 전문의와의 12주간의 대화를 엮었다. 겉보기에는 멀쩡하지만 속은 곪아 있는, 지독히 우울하지도 행복하지도 않은 사람들을 위한 책이며, 타인의 시선으로부터 자유롭지 못하고, 불완전하고, 구질구질한 우리 모두의 이야기다. 우리는 울지 않는 사람이 아니라 울고 싶을 때 울 수 있는 사람이어야 한다.",1,국내도서-에세이
4,9791188874217,64573109,설민석의 한국사 대모험 8,"9,450원",520원,스토리박스/설민석 /정현희,아이휴먼,"재미있는 스토리와 다양한 한국사 이야기를 통해 어린이들에게 지식과 감동, 재미를 심어준 『설민석의 한국사 대모험』 시리즈 여덟 번째 이야기, '위기 극복' 편. 8권에서는 위기에 처한 온달과 평강이의 관계, 북방 민족의 침입으로 위기를 맞은 고구려 등 등장인물들에게 닥친 위기와 위기를 극복하기 위해 노력하는 온달이의 모습을 다루고 있습니다.",1,국내도서-어린이
5,9788998274795,35552641,돌이킬 수 없는 약속,"13,500원",750원,야쿠마루 가쿠/김성미,북플라자,"제51회 에드가와란포상 수상 작가 야쿠마루 가쿠의 미스터리 추리 소설. ""내 딸을 살해한 놈들을 15년 후에 죽여주세요. 그 약속을 해주면 내 전 재산을 드리리다."" 주인공이 과거에 저지른 죄, 그리고 15년 전에 했던 어느 노파와의 돌이킬 수 없는 약속을 둘러싸고 벌어지는 미스터리한 사건을 숨이 막히도록 치밀하게 그렸다.",1,국내도서-소설/시/희곡
6,9791160560510,61557678,열두 발자국,"15,120원",840원,정재승,어크로스,"창의적인 사람들의 뇌에서는 어떤 일이 벌어지고 있을까, 4차 산업혁명 시대, 새로운 기회를 어떻게 발견할 것인가. 숨 가쁘게 변화하는 시대의 한 가운데에서 늘 질문을 던지고 독자들과 함께 해답을 탐색하는 정재승 교수의 지난 10여 년 간의 강연 중 가장 많은 호응을 받았던 12개의 강연을 선별하여 다시 집필했다. 더 나은 선택과 미래를 위해 고군분투하고 있는 청춘들과 이 땅의 리더들에게 주는 뇌과학의 지혜와 통찰이 가득하다.",1,국내도서-인문
7,9788934982975,63733198,21세기를 위한 21가지 제언,"19,800원","1,100원",유발 하라리/전병근,김영사,"『사피엔스』, 『호모 데우스』에 이은 유발 하라리의 ‘인류 3부작’ 완결편. 인류의 과거와 미래를 탐색한 전작에 이어 『21세기를 위한 21가지 제언』에서는 정보기술과 생명기술의 비약적인 발전이 이끄는 유례없는 혁명기, 새로운 도전과 위협에 직면해 있는 인류의 현재를 살핀다. 인공지능은 인간의 일자리를 빼앗아갈 태세다. 가짜 뉴스의 해악과 테러의 공포는 우리의 판단을 흐리고 있으며, 기후변화와 핵전쟁의 위협은 묵시록적인 예언을 낳고 있다. 민족과 종교, 인종주의에 갇혀 반목하고 있는 인류의 오늘은 어떤 내일을 만들어갈 것인가.",1,국내도서-인문
8,9788959895526,65100984,트렌드 코리아 2019,"15,300원",850원,김난도/이수진/서유현/최지혜/김서영/전미영/이향은/이준영/권정윤,미래의창,"김난도 & 서울대 소비트렌드분석센터의 2019 전망. 2018년 대한민국을 흔들어 놓은 10대 상품을 선정해 트렌드 속 숨겨진 메시지를 분석하고, 다가올 2019년 한국 소비 문화의 흐름을 예측한다. 김난도 교수는 2019년의 소비 흐름을 “원자화·세분화하는 소비자들이 환경변화에 적응하며 정체성과 자기 컨셉을 찾아가는 여정”이라는 한 문장으로 요약했다. ‘1인 마켓(세포마켓)’으로 빠르게 세포분열이 진행되고 있는 시장에서 개인과 기업 모두 살아남기 위해서는 ‘컨셉력’을 갖춰야 한다. 또 하나 중요한 흐름은 밀레니얼 세대가 만들어가는 신(新) 가족풍속도인 ‘밀레니얼 가족’의 등장이다. 밥 잘 해주는 것이 아니라 밥 잘 사주는 예쁜 엄마가 지금 시장을 바꾸고 있다. 타인의 시선을 무시하고 자기만의 기준으로 세상을 사는 ‘나나랜드’ 소비자들의 당당함이 주목받는 한편으로, 감정 표현마저 ‘감정 대리인’에게 외주를 맡기는 약한 마음근육의 소유자들이 늘어나는 현상도 포착된다.",1,국내도서-경제 경영
9,9791130619309,64695110,마흔에게,"12,600원",700원,기시미 이치로/전경아,다산초당,"""인생은 마라톤이 아니라 춤이다."" 『미움받을 용기』 기시미 이치로가 삶과 죽음, 나이듦에 대해 전하는 따스한 중년의 심리학. 젊은 사람에게는 나이 드는 것에 대한 기대를, 지금 노년을 보내는 사람에게는 젊을 때와는 다른 기쁨을 느끼며 다시 살아갈 용기를 불어넣어준다.",1,국내도서-자기계발
10,9788971998557,61385099,역사의 역사,"14,400원",800원,유시민,돌베개,"『거꾸로 읽는 세계사』로부터 30년, 작가 유시민 글쓰기의 새로운 시작. 헤로도토스의 『역사』, 투키디데스의 『펠로폰네소스 전쟁사』부터 유발 하라리의 『사피엔스』까지 고대로부터 최근까지 역사를 사로잡은 18권의 역사서들을 9장으로 나누어 훑으며 ‘역사’라는 화두를 전개해간다. 각 역사서의 주요 내용과 시대적인 맥락, 서사의 새로운 초점과 해석, 역사가의 생애 등을 유시민만의 언어로 요약했다. 여기에 역사가의 속마음을 전달하고, 놓치지 말아야 할 부분을 체크해 주거나, 이해하지 못해도 좋다고 위로하고 격려하는 안내자 역할까지 맡았다. 역사에 대한 애정과 역사 공부의 중요성을 몸소 보여주며, 자신의 역사 공부법을 공개하는 셈이다. 역사의 힘과 논리, 역사가의 생각과 감정, 역사 공부의 재미와 깨달음을 함께 나누는 가운데 저마다 '어떻게 살 것인가'라는 질문으로 나아가게 한다.",1,국내도서-역사
