순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788933870693,29433467,설민석의 조선왕조실록,"19,800원","1,100원",설민석,세계사,"대한민국 대표 한국사 강사 설민석이 27명의 조선의 왕들을 한 권으로 불러 모아 핵심적인 주요 사건들을 풀어썼다. 설민석 특유의 흡입력 있는 간결함과 재치 있는 말투를 그대로 책에 녹여냈고, 책 중간중간의 질의응답 구성을 통해 바로 앞에서 강연을 듣고 있다는 느낌을 준다.",1,국내도서-역사
2,9788983926289,33151241,해리 포터와 저주받은 아이 1부 (스페셜 리허설 에디션 대본),"10,800원",600원,J.K. 롤링/박아람,문학수첩,"19년 후. 그 여덟 번째 이야기. 마침내 해리 포터가 돌아왔다! 79개 국어로 번역돼 4억 5,000만 부가 팔리며, 새로운 책이 출간될 때마다 유례를 찾기 힘들 만큼 폭발적인 반응을 일으킨 『해리 포터』 시리즈가 무려 9년 만에 돌아왔다. 19년 뒤, 그 여덟 번째 이야기이자 마지막 이야기인 『해리 포터와 저주받은 아이 1, 2부』는 2016년 7월 30일 영국 런던에서 초연되어 변치 않은 해리 포터 신드롬을 증명한 연극의 대본집으로, J.K. 롤링과 잭 손, 존 티퍼니가 원작을 쓰고 잭 손이 각색하여 엮은 책이다. 내용 구성에 따라 총 두 권으로 출간되며, 『해리 포터와 저주받은 아이 1부』 이야기는 많은 독자를 설레게 했던『해리 포터와 죽음의 성물』의 에피소드, 19년 뒤의 킹스크로스역에서부터 시작된다.",4,국내도서-소설/시/희곡
3,9791195906802,32539156,그럴 때 있으시죠?,"14,220원",790원,김제동,나무의마음,"잘 살고 있는 걸까? 인생이 불안할 때 나만 혼자인 것 같아, 외로운 날에도 나는 당신이 행복했으면 좋겠습니다, 문득문득. ‘모두 내 얘기잖아?’ 서랍 속 비밀일기 같은 내밀한 이야기들 『그럴 때 있으시죠?』는 김제동과 나, 우리들의 이야기다. 누구에게나 가슴 속에 못다 한 이야기, 하나쯤 있다! 뭐가 불안한지는 모르겠는데 뭔가 모르게 불안하고, 피곤해 죽을 만큼 일하는데 잘 살고 있는지 모르겠고, 가족을 사랑하긴 하는데 만나면 도망가고 싶고, 애인 혹은 친구에게 뒤통수 맞고, 하루도 쉬운 날이 없지, 사는 게 참 별일이다 싶은 그런 날들. 각기 다른 시간과 공간에서 일어나지만 서로 공감하게 되는, 우리 모두의 이야기들. * 도서 표지 이미지는 변경될 수 있습니다.",1,국내도서-에세이
4,9791186757093,30548474,자존감 수업,"12,600원",700원,윤홍균,심플라이프,"심리학 책 아무리 읽어도 자존감 그대로인 사람에게 추천하는 책! 정신과 의사 ‘윤답장’ 선생의 자존감 셀프 코칭법 자존감 전문가이자 정신과 의사인 윤홍균 원장이 2년 넘게 심혈을 기울여 쓴 책으로, 자존감이 우리 삶에 미치는 영향을 친절하게 알려주고, 자존감을 끌어올리는 실질적인 방법을 알려주는 책. 높은 자존감을 갖고 싶지만 방법을 모르는 사람, 낮은 자존감 때문에 내면의 불화와 갈등을 겪고 있는 이들이 건강한 자존감을 회복하도록 돕는다.",1,국내도서-자기계발
5,9788983926296,33318998,해리 포터와 저주받은 아이 2부 (스페셜 리허설 에디션 대본),"10,800원",600원,J.K. 롤링/박아람,문학수첩,"19년 후. 그 여덟 번째 이야기. 마침내 해리 포터가 돌아왔다! 79개 언어로 번역돼 4억 5,000만 부가 팔리며, 새로운 책이 출간될 때마다 유례를 찾기 힘들 만큼 폭발적인 반응을 일으킨『해리 포터』 시리즈가 무려 9년 만에 돌아왔다. 여덟 번째 이야기이자 마지막 이야기인 『해리 포터와 저주받은 아이 1, 2부』는 지난 2007년 출간된 『해리 포터와 죽음의 성물』에서 격렬한 전투를 치르고 살아남은 해리 포터와 그 친구들의 19년 후 이야기다. 이 책은 2016년 7월 30일 영국 런던에서 초연되어 변치 않은 해리 포터 신드롬을 증명한 연극의 대본집으로, J.K. 롤링과 잭 손, 존 티퍼니가 원작을 쓰고 잭 손이 각색하여 엮었다.",1,국내도서-소설/시/희곡
6,9788994612959,12184873,대통령의 글쓰기,"14,400원",800원,강원국,메디치미디어,"청와대에서 연설비서관으로 일했던 저자가 8년간 두 대통령에게서 직접 보고, 듣고, 배운 ‘말과 글’에 관한 최초의 책. 대우그룹 회장과 효성그룹 회장의 연설문도 작성했던 저자 강원국은 한국의 정치와 경제 분야 ‘거인’들의 연설문을 책임져 왔다. 연설문의 ‘달인’인 저자는 그간에 온몸으로 체득한 글쓰기 비법을 40가지로 정리했다. 대부분의 글쓰기 책들이 설명과 예문으로 이루어진 반면에, 대통령의 글쓰기는 저자가 겪은 독특하고 흥미진진한 에피소드를 읽다 보면, 자연스럽게 글쓰기 비법이 기억에 남게 된다. 대한민국을 뒤흔들었던 대통령의 무수한 문장들, 위기의 순간에 발표한 연설문에 얽힌 일화들이 담겨 있다.",1,국내도서-인문
7,9791186805398,32616060,그릿 GRIT,"14,400원",800원,앤절라 더크워스,비즈니스북스,"“성공의 정의는 ‘끝까지 해내는 힘’이다!” 성공할 거라고 예측됐던 사람들에게선 한 가지 공통된 특성이 있다! 그것은 좋은 지능도 아니고 외적인 조건도 아닌 바로 ‘그릿 GRIT’즉, 열정적 끈기다! 실패, 역경, 슬럼프를 이겨내고 목표를 이뤄낸 사람들만이 갖고 있는 성공의 비밀 평균보다 떨어지는 IQ, 특별할 것 없는 재능, 불우한 가정환경에도 놀라운 성공을 일궈낸 사람들은 어떻게 그 모든 불리함을 극복하고 최고의 자리에 오를 수 있었을까? 일류대를 나온 부모, 천재적인 재능 등 성공할 수 있는 모든 조건을 갖춘 것 같아 보이는 사람들이 그저 그런 성취에 머물고 마는 까닭은 무엇일까? 펜실베이니아 대학교의 선구적인 심리학자 앤절라 더크워스는 성공을 추구하는 사람들의 필독서인 이 책에서 성공의 비결은 재능이 아니라 그녀가 ‘그릿’이라고 부르는 열정과 끈기의 조합에 있음을 보여준다.",3,국내도서-자기계발
8,9788959894239,32949679,트렌드 코리아 2017,"14,400원",800원,김난도/전미영/이향은/이준영/김서영/최지혜,미래의창,한국 트렌드 분석서의 현대적 고전 『트렌드 코리아』 시리즈 해마다 우리 시대를 관통하는 주요 흐름을 정확하게 예측한 『트렌드 코리아』 시리즈는 매년 출간과 함께 베스트셀러에 오르며 폭발적인 반응을 이끌어내고 있다. 다음 한 해에는 어떤 트렌드가 한국 사회를 주도할 것인가? 김난도 교수와 서울대 소비트렌드분석센터가 제시하는 트렌드 키워드를 통해 2017년 한 해의 한국 소비 문화의 흐름을 짚어본다. ‘대한민국 10대 트렌드 상품’ 선정 및 공개 이와 함께‘대한민국 10대 트렌드 상품’을 선정하여 한 해 동안 대한민국 소비자들의 사랑을 가장 많이 받은 트렌드 상품이나 이슈 10가지를 공개한다.,1,국내도서-경제 경영
9,9788994973234,32198127,악마 기자 정의 사제,"13,500원",750원,주진우 /함세웅,시사IN북(시사인북),"마음껏 낄낄대며 즐기시라 함세웅 신부와 주진우 기자 두 사람이 서울, 부산, 대구, 대전, 광주를 숨 가쁘게 돌며 현대사 얘기를 나누었던 ‘속 시원한 현대사 콘서트’의 이야기를 담은 책이다. 주진우 악마기자가 주로 묻고 함세웅 정의사제가 답하는 방식이다. 젊은 시절부터 독재 권력과 목숨을 걸고 싸워온 함세웅 신부의 풍부한 식견과 정의감이 주진우 기자의 재기발랄한 현장 취재 경험과 버무려진 재기발랄한 통찰이 빛난다.",1,국내도서-사회 정치
10,9788960869707,30569459,대통령의 말하기,"13,500원",750원,윤태영,위즈덤하우스,"‘대통령의 말’과 함께 살아온 10년 500여 권의 휴대용 포켓수첩, 100권의 업무노트, 그리고 1,400여 개의 한글 파일, ‘대통령의 말하기’로 다시 태어나다! -대한민국 최고의 연설가 노무현 대통령이 전하는 궁극의 말하기 원칙 노무현 대통령은 자신의 생각을 ‘말하기’를 통해 정리했다. 머릿속 생각을 사람들에게 이야기하는 과정에서 팩트(fact)는 교정되었고 구성은 정교해졌다. 비유가 풍부해졌고 논리도 진화했다. 지근거리에서 보좌하는 참모들은 동일한 내용의 이야기가 수많은 버전으로 탄생하며 진화하는 과정을 지켜볼 수 있었다. 그 핵심에 ‘윤태영’이 있었다. 참여정부 시절 노무현 대통령을 그림자처럼 수행하며 ‘대통령의 복심’, ‘대통령의 입’, ‘노무현의 필사’ 등 권력의 핵심으로 불렸던 윤태영 전 청와대 대변인은 2000년부터 2009년까지 10년 정도의 세월을 노무현의 말과 함께 살았다.",1,국내도서-자기계발
11,9788950967291,32985050,혼자 잘해주고 상처받지 마라,"13,500원",750원,유은정,21세기북스,"당신의 마음을 더 단단하고 선명하게 만드는 심리 테라피 자존감 심리치료센터를 운영하며 가족과 연인, 친구에게 상처받은 수많은 내담자를 만나온 유은정 원장이 타인에게 상처받지 않고 자기 자신을 사랑하는 방법을 알려준다. 사람의 상처는 주변의 무관심이 아니라 ‘내 편이라고 생각했던 사람’, ‘나를 챙겨줄 사람’이라고 기대했던 상대가 외면할 때 생긴다. 이에 저자는 상대에게 의존하고 집착하던 마음을 자신에게로 돌리고 스스로를 사랑하라고 말한다. 자신의 욕구를 솔직하게 인정하고 표현하며, 자신을 보호해야 한다는 것. 이 책은 일, 사랑, 공부, 관계 그 모든 시작이 서툴고 어색한 사람들이 주체적인 삶을 만들어나갈 수 있도록 도와주는 심리 처방전이다.",1,국내도서-자기계발
12,9788965961956,30555650,숨결이 바람 될 때,"12,600원",700원,폴 칼라니티/이종인,흐름출판,"[뉴욕타임스] 12주 연속 1위, 아마존 종합 1위 전 세계 38개국 판권 수출, 2016년 상반기 최고의 화제작 신경외과 의사로서 치명적인 뇌 손상 환자들을 치료하며 죽음과 싸우다가 자신도 폐암 말기 판정을 받고 죽음을 마주하게 된 서른여섯 젊은 의사 폴 칼라니티의 마지막 2년의 기록. 출간 즉시 아마존과 [뉴욕타임스] 베스트셀러 1위에 올랐으며 12주 연속으로 뉴욕타임스 베스트셀러 1위 자리를 지켰다. [어떻게 죽을 것인가] 저자 아툴 가완디는 “삶에 대해 많은 것을 가르쳐주는, 감동적이고 슬프고 너무 아름다운 책”이라고 평하며 그의 죽음을 안타까워했다. 죽어가는 대신 살아가는 것을 선택한 고뇌와 결단, 삶과 죽음, 의미에 대한 성찰, 숨이 다한 후에도 지속되는 사랑과 가치에 대한 감동적인 실화.",1,국내도서-에세이
13,9788954623773,11865290,설민석의 무도 한국사 특강,"18,000원",200원,설민석,휴먼큐브,"단군왕검부터 안중근까지, 석굴암 본존불부터 독도까지! 과거부터 현재까지 한국사의 핫이슈들을 총망라! 19년째 한국사 한 과목을 학생과 대중에게 가르치고 있는 저자에게 작금의 현실은 너무나 가슴 아픈 순간들이었습니다. 그래서 역사라면 어렵고 부담스럽게 생각하는 일반인들이게 저자는 19년째 한국사 강의를 해온 노하우를 집약해서 누가 읽어도 쉽고, 재미있게 그러면서도 제대로 된 우리의 역사와 문화를 알리고자 고심했습니다. 그 결과물로 『설민석의 무도 한국사 특강』은 탄생했습니다. 한국사를 인물/사건/문화유산 3개의 장으로 구분했습니다. ‘인물 편’은 단군왕검부터 왕건, 세종, 안중근까지, ‘사건 편’은 조선의 건국과 임진왜란, 북한 도발사, 5공의 3S 정책까지, ‘문화유산 편’은 석굴암 본존불부터 탑, 화폐, 세시풍속까지 마지막으로 잃어버린 땅 간도와 잃어서는 안 되는 땅 독도로 이 책의 내용은 구성됐습니다.",3,국내도서-역사
14,9788994120966,15281236,지적 대화를 위한 넓고 얕은 지식,"14,400원",800원,채사장,한빛비즈,"신자유주의가 뭔지, 보수와 진보가 무엇인지, 왜 사회문제가 일어나는지도 몰라서 지식수준이 들통 날까 봐 대화 자리가 두려운 당신에게 오늘도 당신은 수시로 사람들과 만난다. 담배 한 대를 피우는 막간의 시간이든, 점심을 먹는 조금 긴 시간이든, 상사와 외근을 나가야 하는 긴 차 안이든, 대화는 필요하다. 어떤 대화로 연명해왔는가? 쉽게는 어제 뭐 봤니 부터 시작해서 잘 나가는 연예인 이야기를 거쳐 상사 뒷담화로 이어지는 대화의 패턴이 반복되다 보면, 상대가 누구든 그 관계조차 시시해지는 기분이 든다. 그러다 가끔 색다른 상대에 의해 한 차원 높은 지식을 요하는 대화가 시작되면 금방 들통 나는 지식의 한계에 부끄러움마저 느낄 것이다. 현실의 필수적인 지식을 외면한 채, TV 오락과 연예 스캔들, 상사 뒷담화에만 열을 올리는 대화는 허무하다.",1,국내도서-인문
15,9788947541473,33010141,나는 마트 대신 부동산에 간다,"13,500원",750원,김유라,한국경제신문사(한경비피),"“평범한 주부에서 월세 받는 여자가 되기까지” 종잣돈 3천만 원으로 시작해, 6년 만에 아파트 15채 보유! 아들 셋을 키우는 서른넷의 전업주부, 도시근로자 평균 임금에도 못 미치는 남편의 연봉, 드라마에 빠져 지내며 경제에는 담 쌓고 살았던 과거?. 그랬던 그녀가 어떻게 종잣돈 3천만 원으로 아파트 15채를 보유하며 성공적인 투자자로 변신할 수 있었을까? 이 책에는 평범한 주부가 돈의 본질을 공부하고 실천하며 점차 부자가 되어가는 과정이 한 편의 성장 드라마처럼 펼쳐진다. 미친 듯이 오르는 전세가, 아무리 아끼고 모아봤자 내 집 하나 마련하기 힘든 시대. 전세살이로 이 집 저 집 쫓기듯 이사를 다녀야 했던 저자는, 평생 가난의 굴레에서 벗어날 수 없다는 위기감을 느낀 뒤 부동산 투자 전선에 뛰어들기로 마음먹는다.",1,국내도서-경제 경영
16,9788950965693,29379720,빨강머리 앤이 하는 말,"14,400원",800원,백영옥,arte(아르테),"지브리 스튜디오의 명작 애니메이션 [빨강머리 앤] 삽화 수록! 루시 모드 몽고메리의 고전 [그린 게이블의 앤]을 원작으로 1979년 일본 후지TV가 [명작극장]으로 제작했던 [빨강머리 앤]은 1980~1990년대 유년기를 보낸 한국독자들에게도 잊지 못할 추억을 남긴 작품이다. “주근깨 빼빼마른 빨강머리 앤, 예쁘지는 않지만 사랑스러워!”로 시작되는 주제가와 빨강머리 앤이 남긴 수많은 화제들을 기억하고 있다면 『빨강머리 앤이 하는 말』의 출간에 환호하지 않을 수 없을 것이다. [스타일], [다이어트의 여왕], [아주 보통의 연애], [애인의 애인에게]까지, 신작을 발표할 때마다 많은 독자들에게 큰 호응을 받고 있는 작가 백영옥에게도 빨강머리 앤은 루시 모드 몽고메리의 소설 속 앤이 아니라 지브리 애니메이션 속의 ‘빨강머리 앤’이었다.",1,국내도서-에세이
17,9791187498056,32682418,당신은 아무 일 없던 사람보다 강합니다,"13,320원",740원,김창옥,수오서재,"삶을 변화시키고 싶을 때 읽는 김창옥의 인생 특강 유튜브 누적뷰 3,000만 기록! CBS [세상을 바꾸는 시간, 15분] 대표강사 tvN [어쩌다 어른], EBS [60분 부모], KBS [아침마당], [여유만만]을 울린 명강의! 스타강사, 소통의 달인, 강사들의 롤모델, 힐링 퍼포먼스의 일인자라는 숱한 수식어를 지닌 김창옥. 유튜브 누적뷰 3,000만을 훌쩍 넘어서고, tvN [어쩌다 어른], CBS [세상을 바꾸는 시간, 15분], KBS [아침마당], [여유만만], EBS [60분 부모] 등에 출연해 많은 이들을 웃기고 울리는 명강사 김창옥. 정신과의사, 컨설턴트, 강사, 교수가 찾아듣는 강의로도 유명한 그의 명강의 35편이 책으로 엮였다.",1,국내도서-자기계발
18,9788996991342,15058512,미움받을 용기,"13,410원",740원,기시미 이치로/고가 후미타케,인플루엔셜,"프로이트, 융과 어깨를 나란히 하며 ‘심리학의 3대 거장’으로 일컬어지고 있는 알프레드 아들러의 심리학을 쉽고 재미있게 구성했다. 인간은 변할 수 있고, 누구나 행복해질 수 있다. 단 그러기 위해서는 '용기'가 필요하다. 자유로워질 용기, 평범해질 용기, 행복해질 용기, 그리고 미움받을 용기.",1,국내도서-인문
