순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788984317413,11021477,인생수업,"11,700원",650원,법륜/유근택,휴(休),"세대를 넘나드는 인생의 멘토 법륜 스님이 힘겨운 시대, 팍팍한 현실을 헤쳐 나가야 하는 중년과 노년들에게 인생의 마지막 순간까지 행복하게 살 수 있는 길을 제시한다. 단풍처럼 아름답게 물든 인생 후반전을 위한 스님의 유쾌한 인생 수업.",1,국내도서-종교
2,9788932916378,11147652,제3인류 1,"12,420원",690원,베르나르 베르베르/이세욱,열린책들,"우리는 첫 번째 인류가 아니었다. 우리 이전에도 있었고, 우리 이후에도 있을 것이다. 전혀 다른 모습으로... 남극. 저명한 고생물학자 샤를 웰즈의 탐사대가 17미터에 달하는 거인의 유골들을 발굴한다. 그러나 인류사를 다시 쓰게 만들 이 중대한 발견은 발굴 현장의 사고와 함께 곧바로 파묻히고 만다. 파리. 그의 아들 다비드 웰즈는 미래의 인류 진화를 연구하고 있다. 인류의 진화가 소형화의 방향으로 이루어지리라는 것이 그의 지론. 또 다른 과학자 오로르 카메러는 여성화가 인류의 미래라고 믿는다. 이들은 일단의 과학자들과 함께 나탈리아 오비츠 대령이 이끄는 비밀 프로젝트의 일원이 된다. 인류의 파멸을 막기 위한 그들의 활동이 시작된다. 그들 앞에 드러나는 놀라운 비밀, 그리고 미래를 송두리째 바꿔 놓을 수 있는 실험... 과학 소설의 외피를 입고 있는 이 작품에서 베르베르는 독특하게 우화적 수법을 동원한다.",1,국내도서-소설/시/희곡
3,9788932916385,11147655,제3인류 2,"12,420원",690원,베르나르 베르베르/이세욱,열린책들,"우리는 첫 번째 인류가 아니었다. 우리 이전에도 있었고, 우리 이후에도 있을 것이다. 전혀 다른 모습으로... 남극. 저명한 고생물학자 샤를 웰즈의 탐사대가 17미터에 달하는 거인의 유골들을 발굴한다. 그러나 인류사를 다시 쓰게 만들 이 중대한 발견은 발굴 현장의 사고와 함께 곧바로 파묻히고 만다. 파리. 그의 아들 다비드 웰즈는 미래의 인류 진화를 연구하고 있다. 인류의 진화가 소형화의 방향으로 이루어지리라는 것이 그의 지론. 또 다른 과학자 오로르 카메러는 여성화가 인류의 미래라고 믿는다. 이들은 일단의 과학자들과 함께 나탈리아 오비츠 대령이 이끄는 비밀 프로젝트의 일원이 된다. 인류의 파멸을 막기 위한 그들의 활동이 시작된다. 그들 앞에 드러나는 놀라운 비밀, 그리고 미래를 송두리째 바꿔 놓을 수 있는 실험... 과학 소설의 외피를 입고 있는 이 작품에서 베르베르는 독특하게 우화적 수법을 동원한다.",1,국내도서-소설/시/희곡
4,9788984317475,11188260,높고 푸른 사다리,"11,700원",650원,공지영,한겨레출판,"사랑하라, 더욱 사랑하라! 공지영 소설가가 5년 만에 쓴 장편소설 《높고 푸른 사다리》는 한 젊은 수사의 사랑과 방황을 그린 일종의 성장소설이다. 신과 영원, 사랑과 죽음처럼 근본적인 주제들과 함께 6,25 전쟁 같은 슬픈 이야기들도 들려준다. 이 소설은 주인공 요한이 소희를 만나 사랑을 하고, 주변 사람들의 이야기를 들으며, “고통은 왜 있는 것이며, 인간은 왜 존재하는지, 사랑은 무엇인지"" 같은 질문을 하면서 성장해나가는 과정을 그리고 있다. 한 청년의 사랑과 성장, 순례의 이야기!“슬픔도 희석되고 실은 아픔도 아팠다는 사실만 남고 잘 기억되지 않지만 사랑은 남아 있다는 것을 나는 이제 안다. 사랑은 사라지지 않는다는 것을.” -본문 중에서 ""누군가를 사랑한다는 것은 누군가에게 우선권을 준다는 거지요. 우선권을 준다는 것은 우선권이 없는 모든 것들을 희생한다는 것이지요.",1,국내도서-소설/시/희곡
5,9788968330124,9260493,1cm+,"12,420원",690원,김은주/양현정,허밍버드,"해외 번역 출간된 베스트셀러 《1cm》, 《달팽이 안에 달》의 작가 김은주 카피라이터의 신작! 2008년 출간, “인생이 긴 자라면, 우리에게는 1cm만큼의 ( )가 필요하다”는 독특한 부제를 달고 많은 이들에게 사랑받았던 《1cm》. 카피라이터 특유의 기발한 발상과 관찰력을 재기 발랄하면서도 인상적인 글과 그림으로 풀어내어 찬사를 얻었다. 그리고 2013년 여름, 그 두 번째 이야기가 시작된다. 《1cm+(1센티 플러스)》라는 제목에서처럼, 첫 ‘1센티’에서 보여주었던 재치와 위트, 감성을 한층 ‘플러스’해 새로운 이야기를 선보인다. 읽는다기보다는 보고, 느끼고, 이야기에 직접 참여하도록 이끄는 이 책은 어제와 똑같던 오늘에 청량감과 활기를 불어넣는다. 우리의 머리와 가슴을 움직여, 하루하루를 실로 새롭게 살아가도록 하는 에너지를 담고 있다. 작가는 1cm 라는 작은 수치에 주목한다.",1,국내도서-에세이
6,9788965744023,9104121,정글만리 1,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
7,9788965744030,9104124,정글만리 2,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
8,9788965744047,9104132,정글만리 3,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
9,9788950950132,9409052,마시멜로 세 번째 이야기,"12,600원",700원,호아킴 데 포사다/밥 앤들먼/공경희,21세기북스,세계적인 베스트셀러 『마시멜로 이야기』의 완결판이 마침내 출간되었다. ‘마시멜로 세 번째 이야기’는 더 나은 모습의 나로 변화하기 위해 자제력과 남다른 생각을 어떻게 활용하는지를 알려준다.,3,국내도서-자기계발
10,9788982816635,359901,자기 앞의 생,"11,700원",650원,로맹 가리/용경식,문학동네,"유일하게 공쿠르 상을 두 번 받은 작가 로맹 가리 하밀 할아버지, 사람은 사랑 없이도 살 수 있나요? ‘휴머니즘의 작가’로 알려진 로맹 가리는 러시아 이민자 출신의 유태인이다. 2차세계대전 후 그는 세계 각지에서 외교관으로 일하면서 1956년에는 소설 『하늘의 뿌리』로 공쿠르 상을 수상했다. 그는 가명으로도 여러 소설을 발표했는데, 아자르의 이름으로 발표한 두번째 소설 『자기 앞의 생』으로 한 작가에게 결코 두 번 주어지지 않는다는 공쿠르 상을 수상하게 되면서 공쿠르 상을 두 번 받은 작가가 되었다. 작가는 자기의 실제 나이보다 많은 나이를 살고 있는 열네 살 모모의 눈을 통해 이해하지 못할 세상을 바라본다. 모모의 눈에 비친 세상은 결코 꿈같이 아름다운 세상이 아니다. 아이의 눈으로 바라보기 때문에 세상은 더욱 각박하고 모진 곳이다. 아랍인, 아프리카인, 창녀들, 노인... 모모가 사랑하는 사람들은 모두 사회로부터 소외되어 밑바닥 인생을 살아가는 사람들이다.",1,국내도서-소설/시/희곡
