순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788964350508,3684352,삼성을 생각한다,"19,800원","1,100원",김용철,사회평론,"2007년말 대한민국을 떠들썩하게 만들었던 '삼성 비리' 고발의 주인공, 변호사 김용철의 이야기다. 저자가 양심고백 당시 공개한 내용들과 김 변호사가 삼성의 법무팀에서 7년여간 일하면서 보고 겪은 이야기들로 구성되어 있다. 굴지의 대기업에 대해 기존에 가지고 있던 환상이 부서지고, 수많은 비리를 목격했던 그의 경험을 통해 자본주의 시장경제의 원리가 초법적인 힘을 행사해 왔음을 지적한다. 또한 선진 경영과 세계적인 경쟁력이라는 구호 이면에 가려져 왔던 한국경제와 기업집단 문제들에 관한 분석을 전하고 있기도 하다.",1,국내도서-경제 경영
2,9788963700342,3631444,덕혜옹주,"10,620원",590원,권비영,다산책방,"비극적 삶을 살다간 조선의 마지막 황녀가 소설을 통해 다시 살아난다 조선왕조의 마지막 핏줄이었던 덕혜옹주의 비극적 삶을 다룬 소설이다. 고종황제의 막내딸, 조선 최후의 황족, 덕수궁의 꽃이라 불렸던 덕혜옹주는 태어난 순간부터 철저히 정치적 희생자로 살아가게 된다. 어린 나이에 고종황제의 죽음을 목격한 후, 일본으로 끌려가 냉대와 감시로 점철된 십대 시절을 보낸 그녀는 일본 남자와의 강제결혼, 10년 이상의 정신병원 감금생활, 딸의 자살 등을 겪으면서 정서적으로, 신체적으로 쇠약해진다.",3,국내도서-소설/시/희곡
3,9788950921392,3639227,죽을 때 후회하는 스물다섯 가지,"10,800원",600원,오츠 슈이치/황소연,21세기북스,"지금 무엇을 가장 후회하고 있나요? ""후회 없는 삶과 죽음""을 위한 스물다섯 가지 키워드 인간은 누구나 죽음의 문을 피할 수 없다. 죽음이 있다는 것은 이 땅에서의 삶에 끝이 있다는 것이고, 누구에게나 '마지막'이 있다는 뜻이다. 이 세상에 오는 것은 순서대로 오지만 가는 것은 순서가 없다는 말은 이러한 '마지막'이 언제 어떻게 다가올 지 모르기 때문에 생겨난 말이다. 따라서 하루하루 최선을 다해 살아가는 것이 마지막을 잘 준비하며 살아가는 것일지도 모른다.",3,국내도서-에세이
4,9788954608640,3489078,1Q84 1,"13,320원",740원,무라카미 하루키/양윤옥,문학동네,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 그곳에 사랑이 있다면, 그것이야말로 완벽한 사랑일지 모른다…… 일본 출간 한 달 만에 220만 부 돌파! 전세계 독자가 손꼽아 기다려온 무라카미 하루키의 5년 만의 신작 장편소설! 『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! “지금 이 세상에 존재하는 내가 과연 진정한 나일까?” 꽉 막힌 고속도로의 비상계단을 내려오면서 다른 세계로 접어든 여자 아오마메.",1,국내도서-소설/시/희곡
5,9788954608657,3489080,1Q84 2,"13,320원",740원,무라카미 하루키/양윤옥,문학동네,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 압도적인 이야기의 강렬함, 읽기를 멈출 수 없는 놀라운 흡인력 전세계 독자가 손꼽아 기다려온 무라카미 하루키 문학의 결정판! 『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! 『해변의 카프카』 이후 7년 만에, 『어둠의 저편』 이후 5년 만에 출간된 무라카미 하루키 장편소설로, 일본에서는 폭발적인 반응을 불러 일으켰다.",1,국내도서-소설/시/희곡
6,9788960510197,2711149,나쁜 사마리아인들,"12,600원",700원,장하준/이순희,부키,"『사다리 걷어차기』 『쾌도난마 한국경제』의 저자 장하준 교수가 쓴 일반인을 위한 교양경제서. 자유 무역이 진정 개발도상국에게도 도움이 되는지, 경제를 개방하면 외국인 투자가 정말 늘어나는지, 공기업 문제가 과연 민영화로 해결 가능한지, 지적재산권이 실제 기술 혁신을 촉진하는지, 민주주의와 경제 발전은 어떤 특별한 상관관계가 있는지, 경제 발전에 적합한 문화나 민족성이 있는지 등 우리 시대의 현안들에 대해 우리에게 널리 알려진 책이나 영화 등을 소재로 유쾌하면서도 신랄하게 답해주고 있다....",1,국내도서-경제 경영
7,9788945125156,3675772,김연아의 7분 드라마,"13,500원",750원,김연아,중앙출판사(JDM),"2분 50초의 쇼트와 4분 10초의 프리, 세상을 감동시킨 눈부신 7분의 무대 뒤에 숨겨진 국민요정 김연아의 더욱 눈부신 '삶이야기' 세계 피겨 역사를 다시 세우며 전 국민의 사랑을 받고 있는 김연아. 『김연아의 7분 드라마』는 김연아 선수가 피겨 퀸의 자리에 오르기까지의 과정을 하나하나 기록한, 그야말로 '김연아 이야기'이다. 고통없이 영광도 없다는 명언처럼 김연아 역시 피나는 훈련과 노력, 그리고 부상과의 싸움을 이겨내고 얻어낸 값진 결과이다.",3,국내도서-에세이
8,9788952756817,3677037,EBS 60분 부모 : 성장 발달 편,"12,150원",670원,EBS 60분 부모 제작팀 저,지식너머,"「60분 부모」의 메인 테마 「성장 발달」 편 200명의 전문가와 함께한 7년간의 육아 정보! 「60분 부모」는 요즘 부모, 잘 키우려는 의욕은 넘치지만, 믿고 의지할 곳 없는 초보 부모를 위해 2003년 9월, 시작되었다. 7년이 넘는 시간 동안 독특한 특성을 지닌 요즘 부모들을 누구보다 잘 이해하고 어루만지며, 그들이 간절히 원하는 정보를 가장 신뢰할 만한 전문가의 입을 빌려 전하면서 대한민국의 부모에게 최고의 멘토가 되었다.",1,국내도서-가정 살림
9,9788996156925,3139548,잠자기 전 30분,"8,550원",470원,다카시마 데쓰지/홍성민,티즈맵,"더 나은 내일을 위해서, 잠자기 전 30분! 다양한 학습이론과 수면과학을 통해 ‘잠자기 전 30분’이 어떤 시간이며, 또 어떻게 활용하는지에 관해 구체적으로 설명한 책이다. 인간은 습관의 노예라는 말이 있을 정도로, 습관을 바꾸면 인생이 달라질 수 있다. 이 책은 여러 습관 중에서도 특히 ‘잠자기 전 30분’의 습관을 강조하며, 잠자는 시간을 사람들에게 남겨진 미개척의 프런티어 타임이라고 보고, 그 시간을 활용하라고 말한다.",3,국내도서-자기계발
10,9788952755988,3472567,아이의 사생활,"15,120원",840원,EBS 아이의 사생활 제작팀,지식채널,"내 아이의 과거, 현재, 미래를 잇는 이해와 감동 보고서 2008년 2월 EBS에서 방송되어 센세이션을 불러일으킨 다큐멘터리 '아이의 사생활'을 책으로 엮었다. '아이의 사생활'은 어른들이 막연히 생각해오던 우리 아이들의 성격과 지능, 남녀의 차이 등을 과학적으로 증명하고 인간 내면에 대한 탐구와 이해를 바탕으로 한 자녀양육 해법을 제시함으로써, 과학다큐는 딱딱하다는 선입견을 깨고 시청자와 언론의 찬사를 받았다.",1,국내도서-가정 살림
