순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788965700609,6190758,"멈추면, 비로소 보이는 것들","12,600원",700원,혜민/이영철,쌤앤파커스,"사람들에게 치여 상처받고 눈물 날 때, 그토록 원했던 일이 이루어지지 않았을 때, 사랑하던 이가 떠나갈 때… 우리는 끊임없이 좌절의 순간을 맞으며 매일을 살아간다. 하지만 경쟁이 미덕이고, 일등만이 기억되는 이 사회에서 나의 ‘힘듦’을 내보이기란 쉬운 일이 아니다. 남들이 그러는 것처럼 세상 탓을 조금 하다가, ‘녹록치 않은 세상 살이, 나만 힘든게 아니지’ 라고 스스로를 다독이고 분주한 일상으로 돌아와 또 다시 ‘열심히’ 살고 있지는 않은지. 하지만 『멈추면, 비로소 보이는 것들』이 있다. 하버드 재학 중 출가하여 한국인 승려 최초로 미국 대학교수가 된 혜민 스님은, 이 바쁜 세상에서 잠시 멈추고 나를 사랑하는 시간을 가질 것을 권한다. 관계에 대해, 사랑에 대해, 마음과 인생에 대해, 머리로는 알지만 마음으론 잘 안 되는 문제들을 차근차근 해결해 나갈 수 있도록 돕는 그의 조언은 마음을 튼튼하게 하는 한 첩의 보약과도 같다.",3,국내도서-에세이
2,9788954618984,7420669,천 번을 흔들려야 어른이 된다,"12,600원",700원,김난도,오우아,"200만 부 돌파를 앞둔 멘토링 에세이의 신화 『아프니까 청춘이다』 그후, 대한민국이 열광한 경청과 공감의 멘토 ‘란도샘’이 돌아왔다! 『아프니까 청춘이다』 그후, ‘이제 흔들리며 세상에 첫발을 내딛은 청춘’에게 주는 김난도의 인생 멘토링. 청춘의 불안을 지나 세상 속에서 뜨거운 볕을 맨몸으로 견디며 흔들리고 있는 어른아이들을 위한 ‘란도샘’의 가슴 벅찬 인생 멘토링이 시작된다. '아픈 청춘'을 지나 사회에 발을 내딛은 이들, 생물학적 나이로 25세에서 35세 사이의 '어른아이'들이 겪는 아픔은 학창 시절에 비할 바가 아니다. 이제는 아픈데도 아프다는 말조차 하지 못하며 일과 사랑, 가족, 인간관계, 자아실현 사이에서 힘겨운 저글링을 해야 하는 만만찮은 ‘어른의 삶’이 기다리는 것이다.",1,국내도서-에세이
3,9788960652811,6779598,달팽이가 느려도 늦지 않다,"12,600원",700원,정목,공감,"불교방송‘마음으로 듣는 음악’과 인터넷 유나방송으로 헤아릴 수없이 많은 청취자와 네티즌에게 위안과 감동을 선물하고 있는 정목스님의 정갈한 산문집 『달팽이가 느려도 늦지 않다』. 정목스님은 감사, 자비, 분노, 사랑, 화해, 평화 등을 주제로 행복을 찾는 현대인들에게 마치 족집게 과외 선생님처럼 기쁨과 휴식의 정답을 선사한다.",3,국내도서-에세이
4,9788993928488,7202720,바람이 분다 당신이 좋다,"12,420원",690원,이병률,달,"7년 만에 나온 『끌림』의 두 번째 이야기. 세월이 흐르는 동안 작가는 그동안 여전히 여러 번 짐을 쌌고, 여러 번 떠났으며, 어김없이 돌아왔다. 변하지 않은 건 ‘사람’. 혼자 떠난 여행에서도 늘 ‘사람’ 속에 있었으며, ‘사람’에 대한 따뜻한 호기심과 ‘사람’을 기다리는 쓸쓸하거나 저릿한 마음을 거두지 않는다. 사람이 여행하는 곳이 결국 사람의 마음이라는 말은 그래서 맞다. 이번에도 역시나, 『끌림』과 마찬가지로 목차도 페이지도 없다. 그러니, 순서도 없다.",1,국내도서-에세이
5,9788998010041,7512151,1日 1食 1일 1식,"11,700원",650원,나구모 요시노리/양영철,위즈덤스타일,"‘꼬르륵’ 소리는 장수 유전자가 발동하고 있다는 증거! 장수 유전자의 스위치를 켜라! 최근 고령화가 급격히 활발해지면서 ""건강하게 장수하기""가 주목 받고 있다. 이 책은 세계 최장수국인 일본에서 출간되자마자 많은 화제를 일으켰으며, 장수하기 위해 하루에 한 끼를 먹으라고 권고한다. 의학박사인 저자는 '나구모식 건강법'을 전파하며 '하루에 한 끼'를 먹는 식습관의 힘을 보여준다. ""공복으로 아픈 곳이 치유된다. 그리고 여성들에겐 건강한 다이어트가 된다. 또한, 피부 나이가 점점 젊어지는 재생효과가 나타난다."" 일반인들이라면 누구가 막연하게 공복이 몸에 좋지 않다는 일반적인 관념을 깨는 주장이었다. 저자가 지난 10년 동안 몸소 체험했던 1일 1식의 결과는 최근 발견된 장수 유전자 '시르투인 유전자'가 식사량을 40퍼센트 줄이면 수명이 1.5배 늘어난다는 영국 노화 연구진의 통계와 같다.",1,국내도서-건강 취미
6,9788950940447,7813042,곽승준 강원택의 미래토크,"13,500원",750원,곽승준/강원택,21세기북스,"하이브리드 신인류가 여는 ‘쿨하고 열정적인’ 대한민국의 미래 국민의 생활고는 점점 무거워지고 있다. 미래에 대한 좌표라고 할 수 있는 출산율은 세계 최저 수준이고, 현재 삶에 대한 바로미터라고 할 수 있는 자살률은 OECD 국가 중 압도적 1위다. 하루에 40명이 넘는 사람이 스스로 목숨을 끊는다. 한국의 미래 성장 동력의 발굴을 위해 치열하게 고민한 곽승준 미래기획위원장은 스스로를 ‘쿨 보수’의 기수라고 평가한다. 그리고 쿨 보수나 강남 좌파는 케케묵은 이념 정쟁을 접어두고 민생에 집중해야 한다고 목소리를 높인다. 가장 중요한 것은 국민의 행복이고 그 핵심은 ‘먹고 사는 것’이라는 말이다. 그러면서 흰 고양이, 검은 고양이를 따지지 않았던 덩샤오핑처럼 민생과 미래 동력에 집중해 먹고 살 거리를 찾는 데 골몰해야 하고, 또 해낼 수 있다는 자신감을 피력한다. 그 와중에 구상하고 다듬은 것이 ‘자본주의 5.0’이다.",3,국내도서-경제 경영
7,9788954428224,7461206,파도가 바다의 일이라면,"11,700원",650원,김연수,자음과모음,"가장 차가운 땅에서도, 가장 낯선 바다에서도 나는 들었네 ""빈 잔은 채워지기를, 노래는 불려지기를, 편지는 전해지기를 갈망한다. 나는 돌아가고자 한다. 진짜 집으로. 나의 엄마에게로."" 동인문학상, 황순원문학상, 이상문학상, 동서문학상, 대산문학상 수상작가 김연수 2012년 최신 장편소설 2011년 여름부터 2012년 여름까지 계간 「자음과모음」, 중국 격월간 「소설계」에 동시 연재되었던 김연수의 신작 장편소설 『파도가 바다의 일이라면』이 드디어 출간되었다. 열일곱 살 미혼모의 딸로 태어나 미국 중산층 백인 가정으로 입양되어 성장한 작가 '카밀라 포트만'이 자신의 뿌리를 찾는 논픽션을 쓰기 위해 한국 진남을 찾는 것을 줄기로 하는 이 이야기는 '기록' 이나 '기억', 혹은 '증언' 만으로는 온전히 이해될 수 없는 개인의 진실을 전한다.",3,국내도서-소설/시/희곡
8,9788950939618,7575258,마법천자문 23,"8,820원",490원,올댓스토리/홍거북/김창환,아울북,"옥황계를 넘어 광명계로! 흥미진진한 새로운 모험이 펼쳐진다! “삼장, 조금만 기다려! 내가 곧 구해 줄게!” 검은마왕에게 납치된 삼장을 구하기 위해 광명계로 온 오공과 동자! 그런데 어째 가는 곳마다 만만치 않습니다. 집채만 한 과일에 끝도 보이지 않는 어마어마한 나무! 게다가 무시무시한 괴물까지? “오공! 여기 이상해! 무섭다고~” 그때 동에 번쩍! 서에 번쩍! 엄청난 한자마법으로 괴물을 물리치는 수수께끼의 소년자객이 나타납니다.",3,국내도서-어린이
9,9788936472184,7463287,나의 문화유산답사기 7,"16,200원",900원,유홍준,창비,"유홍준, 이번에는 제주도다! 1993년 제1권 ‘남도답사 일번지’부터 2011년 제6권 ‘인생도처유상수’까지 인문서 최초 300만부 판매 돌파라는 경이적인 기록을 세웠던 『나의 문화유산답사기』의 유홍준 교수(명지대 미술사학과)가 제7권 신간 제주편 ‘돌하르방 어디 감수광’을 출간했다. 전작들과 달리 이번 신간은 한권을 오롯이 제주에 할애해 제주의 자연과 문화유산, 역사와 사람 이야기로 풍성하게 채웠으며 그 깊이와 집중도 또한 답사기의 새로운 지평을 열었다고 할 정도이다. 이미 전국민의 휴양지에서 세계적인 관광지로 발돋움한 제주, 누구나 한번쯤 가보았고 누구나 잘 아는 곳이라 생각하는 제주, 그 구석구석에 숨어 있는 자연의 아름다움과 문화유산의 가치를 이처럼 총체적으로 집약해놓은 경우는 찾아보기 힘들다. 이번 제주편 ‘돌하르방 어디 감수광’은 제주에 대한 새로운 발견을 통해서 우리에게 제주를 보는 새로운 눈을 일깨워줄 것이다.",1,국내도서-역사
10,9788970127248,1940233,"총, 균, 쇠","25,200원","1,400원",재레드 다이아몬드/김진준,문학사상,"왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 새롭게 개정신판이 출간되었다. 진화생물학자인 재레드 다이아몬드는 총기와 병균과 금속이 역사에 미친 엄청난 영향에 대해 분석한다. 일단 수렵 채집 단계를 넘어서 농경을 하게 된 사회들은 문자와 기술, 정부,...",1,국내도서-사회 정치
