순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788965744023,9104121,정글만리 1,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
2,9788965744030,9104124,정글만리 2,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
3,9788965744047,9104132,정글만리 3,"12,150원",670원,조정래,해냄,"지금, 당신은 미래와 마주할 준비가 되어 있습니까? 세계 경제를 집어삼키며 세계의 중심이 된 중국의 급부상 수천 년 국경을 맞댄 우리는 친구인가, 적인가 거대한 중국 대륙을 종횡무진 가로질러 집필한 조정래 불후의 역작 ‘세계의 공장’에서 ‘세계의 시장’으로 탈바꿈하며 세계 경제의 강대국으로 떠오른 중국의 비약적 성장과 급변하는 한반도의 정세 속에서 우리는 지금 무엇을 직시해야 하는가, 그리고 무엇을 준비해야 하는가? 『정글만리』는 『태백산맥』『아리랑』『한강』으로 우리나라의 근현대 비극을 예리하게 그려낸 조정래 작가의 신작 장편소설이다. 총 3권으로 출간되는 이 책은 인터넷 포털사이트 네이버에 약 3개월여 동안 일러스트와 함께 매일 연재되며 독자와 함께 호흡해왔고, 1백만 회 이상의 높은 조회수와 1만 건 이상의 댓글로 네티즌들의 뜨거운 호응을 받았다.",1,국내도서-소설/시/희곡
4,9788937814754,1508673,폭풍우 치는 밤에,"8,100원",450원,기무라 유이치/김정화/아베 히로시,미래엔아이세움,"""함께 있으면 마음이 편해지는 친구가 당신은 있습니까?"" 늑대와 염소의 독특하고 아름다운 만남을 통해, 우정의 본질을 꿰뚫는 가슴 울리는 그림 동화 가부와 메이 이야기!",1,국내도서-어린이
5,9788937487927,9104090,색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해,"13,320원",740원,무라카미 하루키/양억관,민음사,"모든 것이 완벽했던 스무 살 여름으로 서른여섯 살 다자키 쓰쿠루는 순례를 시작했다 무라카미 하루키가 3년 만에 발표한 장편소설이다. 일본에서 50만 부라는 파격적인 초판 부수로 기대를 모으고, 출간 이후에는 7일 만에 100만 부를 돌파하는 등 베스트셀러의 역사를 다시 쓴 세계적 화제작이다. 철도 회사에서 근무하는 한 남자가 잃어버린 과거를 찾기 위해 떠나는 순례의 여정을 그린 이 작품은 개인 간의 거리, 과거와 현재의 관계, 상실과 회복의 과정을 담아내고 있다. 프란츠 리스트 「순례의 해」의 간명하고 명상적인 음률을 배경으로 인파가 밀려드는 도쿄의 역에서 과거가 살아 숨 쉬는 나고야, 핀란드의 호반 도시 헤멘린나를 거쳐 다시 도쿄에 이르기까지, 망각된 시간과 장소를 찾아 다자키 쓰쿠루는 운명적인 여행을 떠난다.",1,국내도서-소설/시/희곡
6,9788954620970,9427471,아크라 문서,"10,350원",570원,파울로 코엘료/공보경,문학동네,우리 시대 가장 사랑받는 작가 파울로 코엘료 소설. 영국의 고고학자가 발견한 11세기 '아크라 문서'에는 콥트인 현자와 예루살렘인들 간의 대화가 기록되어 있었다. 군중의 질문에 현자가 답하는 형식의 소설 속에 혼돈의 시대에 삶의 의미와 방향을 제시하는 성찰의 지혜가 가득하다.,1,국내도서-소설/시/희곡
7,9788969790026,10984519,L’s Bravo Viewtiful Part 2,"19,800원",220원,L(엘) 저,울림 엔터테인먼트,"현역 아이돌 최초, 포토에세이 북 출간! L’s Bravo Viewtiful part-01의 신화를 잇는다! 예술, 문화 부분 예약판매 1위! 출간과 동시에 베스트셀러 진입! 한국, 일본 동시 출간, 초판, 재판 연속 매진사례! 위대한 쾌거를 이룩한 인피니트 멤버 엘(김명수)의 89일간의 두 번째 이야기 2013년 5월, 출간되자마자 수많은 호평 속에 베스트셀러가 된 L’s Bravo Viewtiful Part.1. 예술, 대중문화 및 종합 예술 부분 1위를 차지하며 2013년 상반기 베스트셀러 Top 100안에 진입하는 쾌거를 이룩했다. ‘대세돌’이라 불리는 아이돌 멤버의 손때가 가득한, ‘포토에세이 북 한 권의 기적’은 기대하지 않았기에 더욱 놀라운 결과! 소소한 일상의 흔적을 체크한 사진과 글로 따뜻한 힐링을 선사했던, 작가 엘(김명수).",1,국내도서-예술-대중문화(통합)
8,9788937814761,1508674,나들이,"8,100원",450원,기무라 유이치/김정화/아베 히로시,미래엔아이세움,"""함께 있으면 마음이 편해지는 친구가 당신은 있습니까?"" 늑대와 염소의 독특하고 아름다운 만남을 통해, 우정의 본질을 꿰뚫는 가슴 울리는 그림 동화 가부와 메이 이야기!",1,국내도서-어린이
9,9788937814808,1508681,"안녕, 가부","8,100원",450원,기무라 유이치/김정화/아베 히로시,미래엔아이세움,"""함께 있으면 마음이 편해지는 친구가 당신은 있습니까?"" 늑대와 염소의 독특하고 아름다운 만남을 통해, 우정의 본질을 꿰뚫는 가슴 울리는 그림 동화 가부와 메이 이야기!",1,국내도서-어린이
10,9788937814785,1508678,염소 사냥,"8,100원",450원,기무라 유이치/김정화/아베 히로시,미래엔아이세움,"""함께 있으면 마음이 편해지는 친구가 당신은 있습니까?"" 늑대와 염소의 독특하고 아름다운 만남을 통해, 우정의 본질을 꿰뚫는 가슴 울리는 그림 동화 가부와 메이 이야기!",1,국내도서-어린이
