순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788954611275,3848527,어디선가 나를 찾는 전화벨이 울리고,"10,350원",570원,신경숙,문학동네,"""살아 있으라, 마지막 한 모금의 숨이 남아 있는 그 순간까지 이 세계 속에서 사랑하고 투쟁하고 분노하고 슬퍼하며 살아 있으라."" 『엄마를 부탁해』 그 이후, 신경숙의 신작 장편소설 청춘은 사랑의 기쁨과 상실의 아픔, 달랠 길 없는 불안과 고독의 순간들이다. 인생의 가장 아름답고 파랗게 빛나는 이 시기에, 우리는 가장 크게 웃고, 울고, 기뻐하고, 좌절하며, 사랑하고, 헤어지고, 그러면서 성장한다. 우리가 '청춘'이라고 부르는 순간은 태어나서 살고 죽는 사이에 가장 찬란한 순간.",1,국내도서-소설/시/희곡
2,9788934939603,3863865,정의란 무엇인가,"13,500원",750원,마이클 샌델/이창신,김영사,"20년 간 하버드대 최고의 명강의로 손꼽히는 정치철학자 샌델의 '정의(Justice)'는 '정의란 무엇인가'라는 질문에 대한 해답을 찾는 과정에서 나타나는 딜레마를 다룬다. 책은 여러 논쟁을 통해, 우리가 시민으로 살면서 부딪히는 어려운 질문들을 설득력있게 풀어간다.",1,국내도서-사회 정치
3,9788947527545,3801126,스눕,"14,400원",800원,샘 고슬링/김선아,한국경제신문사(한경비피),"당신의 물건이 당신의 모든 것을 말해준다! 척 보면 아는 '통찰의 예술' 지난 10년 동안 인간이 어떻게 숨겨진 자신의 내면을 외부로 투영 또는 감추려 하는지에 관해 연구하고, 기발하고 독특한 연구 성과로 전미 심리학회의 주목을 받고 있는 저자인 샘 고슬링 박사가 쓴 개인과 관련된 장소를 통해 개인의 성향이나 이미지를 파악할 수 있는 노하우를 다양한 사례로 소개하는 책이다.",2,국내도서-자기계발
4,9788973370597,3787382,아불류 시불류 我不流 時不流,"13,050원",720원,이외수/정태련,해냄,"이외수의 비상법, 我不流 時不流 “내가 흐르지 않으면 시간도 흐르지 않는다” 『하악하악』으로 60만 독자를 사로잡은 이외수 작가의 신작 에세이. ‘이외수의 비상법’ 『아불류시불류』는 “내가 흐르지 않으면 시간도 흐르지 않는다”라는 작가의 글을 핵심적인 표현으로 정리한 제목으로, “그대가 그대 시간의 주인이다”라는 메시지를 담고 있다. ""그대가 그대 시간의 주인이다 무엇이 푸르냐고 나에게 묻지 말라. 그대가 푸른 것이 곧 진실이다.",1,국내도서-에세이
5,9788950923846,3843078,김미경의 아트 스피치,"13,500원",750원,김미경,21세기북스,"영혼을 감동시키는 마법의 스피치 MBC 희망특강 「파랑새」의 국민 강사 김미경이 전하는 소통, 설득, 공감의 기술 한국인들은 어릴 때부터 말하는 문화와 토론하는 문화에 익숙하지 않은 환경에서 성장한 탓에 스피치 기술의 중요성을 간과해왔다. 그러나 사회에 첫 발을 내딛기 시작할 때부터 이야기는 달라진다. 해외 바이어 앞에서 프레젠테이션을 할 때도, 예산을 따기 위해 상사를 설득할 때도, 팀별 토론을 할 때도 스피치가 관건이다.",3,국내도서-자기계발
6,9788971993873,3787802,운명이다,"13,500원",750원,노무현/유시민/사람사는세상 노무현재단,돌베개,"노무현 전 대통령의 서거 1주기를 맞이해 고인이 남긴 저서와 미발표 원고 등 각종 인터뷰와 구술 기록을 토대로, 출생부터 서거에 이르기까지 인생역정 전체를 정리한 '정본' 자서전이다. 기록을 일관된 문체로 정리하는 작업은 유시민 전 장관이 맡았다.",3,국내도서-사회 정치
7,9788960491533,3852122,영어 낭독 훈련 실천 다이어리,"16,200원",900원,박광희/캐나다 교사 영낭훈 연구팀,사람in,"수준별로 구성된 본격 영어 낭독 훈련서! 영어 말하기를 가장 잘할 수 있는 학습법인 '영어 낭독 훈련'을 소개하여 영어 교육계에 '영낭훈' 열풍을 몰고 온 책, 『영어 낭독 훈련에 답이 있다』의 [실천편]이다. 수준별 3단계로 구성되어 있어 누구나 쉽게 낭독 훈련에 도전할 수 있게 해준다.",2,국내도서-국어 외국어 사전
8,9788992647915,3849216,오리진이 되라,"12,600원",700원,강신장,쌤앤파커스,"세상에 없는 가치를 만들어내는 통찰, 아이디어, 구체적인 방법론. '오리진'으로 거듭나는 창조의 바이블 오리진(origin)이란 세상에 없던 제품, 또는 그것을 만드는 사람을 지칭한다. 즉 '스스로 처음(기원)이 되는 자.'를 뜻하는 것이다. 이 책이 말하는 창조의 최종 목적지가 바로 이 ‘오리진(origin)’이다.",1,국내도서-경제 경영
9,9788992647830,3805084,유머가 이긴다,"11,700원",650원,신상훈,쌤앤파커스,"유머가 힘이다. 유머가 경쟁력이다. 유머가 이긴다!! 요즘 시대에 유머는 선택이 아니라 필수이고, 어쩌면 새로운 형태의 권위인지도 모른다. 고객을 기분 좋게 설득하고, 직원들에게 열정과 에너지를 심어주고, 조직의 창의력을 폭발시키고, 화합과 성장을 만드는 가장 강력한 무기는 '유머' 뿐이다.",3,국내도서-자기계발
10,9788963700342,3631444,덕혜옹주,"10,620원",590원,권비영,다산책방,"비극적 삶을 살다간 조선의 마지막 황녀가 소설을 통해 다시 살아난다 조선왕조의 마지막 핏줄이었던 덕혜옹주의 비극적 삶을 다룬 소설이다. 고종황제의 막내딸, 조선 최후의 황족, 덕수궁의 꽃이라 불렸던 덕혜옹주는 태어난 순간부터 철저히 정치적 희생자로 살아가게 된다. 어린 나이에 고종황제의 죽음을 목격한 후, 일본으로 끌려가 냉대와 감시로 점철된 십대 시절을 보낸 그녀는 일본 남자와의 강제결혼, 10년 이상의 정신병원 감금생활, 딸의 자살 등을 겪으면서 정서적으로, 신체적으로 쇠약해진다.",3,국내도서-소설/시/희곡
11,9788927800309,3796746,나를 버리다,"11,700원",650원,박지성,중앙북스(books),"""더 큰 나를 위해 지금의 자신을 버린다"" 팀을 위해 동료를 위해 자신의 모든 것을 던지며 헌신하는 선수 박지성 유명하지 않은 축구선수를 꿈꾸는 그의 진솔한 삶이야기 전 세계적인 인기클럽이자, 6년 연속 세계에서 최고 가치 구단으로 선정된 영국 프리미어리그 명문클럽 맨체스터 유나이티드의 올드 트래포드 구장에 언젠가부터 한 동양인 선수를 위한 노래가 불려지기 시작했다.",3,국내도서-에세이
12,9788952755988,3472567,아이의 사생활,"15,120원",840원,EBS 아이의 사생활 제작팀,지식채널,"내 아이의 과거, 현재, 미래를 잇는 이해와 감동 보고서 2008년 2월 EBS에서 방송되어 센세이션을 불러일으킨 다큐멘터리 '아이의 사생활'을 책으로 엮었다. '아이의 사생활'은 어른들이 막연히 생각해오던 우리 아이들의 성격과 지능, 남녀의 차이 등을 과학적으로 증명하고 인간 내면에 대한 탐구와 이해를 바탕으로 한 자녀양육 해법을 제시함으로써, 과학다큐는 딱딱하다는 선입견을 깨고 시청자와 언론의 찬사를 받았다.",1,국내도서-가정 살림
13,9788932910413,3726728,파라다이스 1,"8,820원",490원,베르나르 베르베르/임희근,열린책들,"더욱 기상천외한 이야기로 돌아온 베르나르 베르베르 있을법한 과거와 미래 이야기를 통해 '만약에' 세상 속으로! 톨스토이, 셰익스피어, 헤르만 헤세 등과 함께 한국인이 가장 좋아하는 외국 작가로 선정된 바 있는 베르나르 베르베르가 기상천외한 상상력으로 써내려간 이야기를 가지고 돌아왔다. 『개미』, 『타나토노트』, 『신』 등 발표하는 책마다 특유의 상상력으로 흡입력있는 이야기를 들려주었던 베르나르 베르베르.",3,국내도서-소설/시/희곡
