순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788954608640,3489078,1Q84 1,"13,320원",740원,무라카미 하루키/양윤옥,문학동네,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 그곳에 사랑이 있다면, 그것이야말로 완벽한 사랑일지 모른다…… 일본 출간 한 달 만에 220만 부 돌파! 전세계 독자가 손꼽아 기다려온 무라카미 하루키의 5년 만의 신작 장편소설! 『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! “지금 이 세상에 존재하는 내가 과연 진정한 나일까?” 꽉 막힌 고속도로의 비상계단을 내려오면서 다른 세계로 접어든 여자 아오마메.",1,국내도서-소설/시/희곡
2,9788954608657,3489080,1Q84 2,"13,320원",740원,무라카미 하루키/양윤옥,문학동네,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 압도적인 이야기의 강렬함, 읽기를 멈출 수 없는 놀라운 흡인력 전세계 독자가 손꼽아 기다려온 무라카미 하루키 문학의 결정판! 『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! 『해변의 카프카』 이후 7년 만에, 『어둠의 저편』 이후 5년 만에 출간된 무라카미 하루키 장편소설로, 일본에서는 폭발적인 반응을 불러 일으켰다.",1,국내도서-소설/시/희곡
3,9788983923387,3607672,로스트 심벌 1,"11,250원",620원,댄 브라운/안종설,문학수첩,"초판 500만부의 경이적인 기록을 세운 『다빈치 코드』 댄 브라운의 신작 전 세계 8,000만 부라는 경이적인 판매 기록을 세운 초대형 베스트셀러 『다빈치 코드』의 저자 댄 브라운이 6년 만에 선보이는 신작이다. 초판으로 500만 부를 인쇄하는 등 전 세계 많은 팬들이 기다려 온 작품답게 댄 브라운 특유의 긴박감 넘치는 스토리 전개와 온 세계를 위협할 어두운 음모를 추적하는 흥미진진한 추격진이 벌어진다.",3,국내도서-소설/시/희곡
4,9788983923394,3607674,로스트 심벌 2,"11,250원",620원,댄 브라운/안종설,문학수첩,"초판 500만부의 경이적인 기록을 세운 『다빈치 코드』 댄 브라운의 신작 전 세계 8,000만 부라는 경이적인 판매 기록을 세운 초대형 베스트셀러 『다빈치 코드』의 저자 댄 브라운이 6년 만에 선보이는 신작이다. 초판으로 500만 부를 찍을 정도로 전 세계 많은 팬들이 기다려 온 작품답게 댄 브라운 특유의 긴박감 넘치는 스토리 전개와 온 세계를 위협할 어두운 음모를 추적하는 흥미진진한 추격진이 벌어진다.",1,국내도서-소설/시/희곡
5,9788971848173,3442116,"그건, 사랑이었네","10,800원",600원,한비야,푸른숲,"조용한 집으로 돌아와 당신에게 들려주는 한비야, 그녀가 꿈꾸는 세상 세계의 오지를 누비며 도전 의식을 불태우거나 긴급구호 현장에서 불을 끄는 소방관 같은 활동가의 모습을 보여주었던 한비야. 그녀가 이번에는 자신만의 공간인 집으로 독자들을 초대하여 따뜻한 차 한 잔을 나누면서 서로의 고민을 이야기하고 현장에서의 자신을 돌아본다. 한비야의 맨 얼굴과 마주할 수 있는 흔치 않았던 초대이다.",1,국내도서-에세이
6,9788936433673,3105115,엄마를 부탁해,"11,700원",650원,신경숙,창비,"섬세하고 깊은 성찰, 따뜻한 시선의 작가 신경숙이 절정의 기량으로 풀어낸 엄마 이야기, 엄마를 통해서 생각하는 가족 이야기, 가장 큰 사랑 이야기. 세상 모든 사람은 엄마의 자식, 우리 모두에겐 나만의 엄마가 있다. 때로 좋기도 밉기도 고맙기도 원망스럽기도 한, 그러나 굳건한 땅처럼 분명하고 단단한 엄마. 어느날, 그 엄마를 잃어버린다. 나이 들고 몸도 성치 않은 엄마를. 서울 사는 자식들 편하라고 아버지 생신을 치르러 시골집에서 올라오던 길, 지하철 서울역에서 아버지 손을 놓친 찰나, 엄마는 꿈처럼 사라진다.",1,국내도서-소설/시/희곡
7,9788937832543,3423888,브레이킹 던,"14,400원",800원,스테프니 메이어/윤정숙,북폴리오,"전 세계에 뱀파이어 신드롬을 몰고 온 「트와일라잇」시리즈의 최종편 『브레이킹 던』 전 세계에 '뱀파이어' 신드롬을 일으키며 엄청난 판매부수를 기록한 '트와일라잇' 시리즈의 최종편! 마지막 순간까지 긴장을 늦출 수 없게 만드는 무서운 흡입력, 고비마다 기다리고 있는 놀라운 반전, 그리고 연약한 소녀에서 강인한 전사로 성장한 벨라의 눈부신 변화까지. 페이지를 넘기기 아까울 정도로 재미있다! 에드워드의 청혼을 받아들인 벨라는 대가로 조건을 건다.",1,국내도서-소설/시/희곡
8,9788981102760,3609169,양육쇼크,"13,320원",740원,포 브론슨/애쉴리 메리먼/이주혜,물푸레,"당연하다고 생각했던 자녀교육의 통념을 깬다 우리가 오랫동안 믿어오고 당연시했던 자녀교육에 대한 믿음을 깨는 책으로 새로운 자녀교육법을 제시한다. 지금까지 우리가 따르던 전통적 양육법, 그 기존의 가치를 완전히 뒤엎으며 대단히 혁신적이고 새로운 관점을 제공하고 있다. 자녀양육과 아동발달에 관해 전 세계 60개 나라에서 7천 명이 넘는 학자들이 과학적으로 연구한 내용을 바탕으로 쓰여져 신뢰감을 높여준다.",3,국내도서-가정 살림
9,9788937832468,3210177,이클립스,"12,600원",700원,스테프니 메이어/윤정숙,북폴리오,"영화와 소설로 신드롬을 일으킨 「트와일라잇」 시리즈의 정점이자 최고로 스펙터클한 3부, 『이클립스』!! 달이 태양을 가리는 현상인 일식, 그것을 이클립스(eclipse)라 부른다. 차가운 달이 뱀파이어 에드워드를, 뜨거운 태양이 늑대인간 제이콥을 각각 상징한다. 에드워드의 곁에서 행복을 느끼면서도, 가장 힘들었던 시절 자신의 곁을 지켜준 제이콥에게 계속 마음이 쓰인다. 하지만 에드워드는 늑대 인간들 곁에 있는 게 위험하다는 이유로 벨라가 제이콥을 만나지 못하게 하는데...",2,국내도서-소설/시/희곡
10,9788952755988,3472567,아이의 사생활,"15,120원",840원,EBS 아이의 사생활 제작팀,지식채널,"내 아이의 과거, 현재, 미래를 잇는 이해와 감동 보고서 2008년 2월 EBS에서 방송되어 센세이션을 불러일으킨 다큐멘터리 '아이의 사생활'을 책으로 엮었다. '아이의 사생활'은 어른들이 막연히 생각해오던 우리 아이들의 성격과 지능, 남녀의 차이 등을 과학적으로 증명하고 인간 내면에 대한 탐구와 이해를 바탕으로 한 자녀양육 해법을 제시함으로써, 과학다큐는 딱딱하다는 선입견을 깨고 시청자와 언론의 찬사를 받았다.",1,국내도서-가정 살림
