순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788934939603,3863865,정의란 무엇인가,"13,500원",750원,마이클 샌델/이창신,김영사,"20년 간 하버드대 최고의 명강의로 손꼽히는 정치철학자 샌델의 '정의(Justice)'는 '정의란 무엇인가'라는 질문에 대한 해답을 찾는 과정에서 나타나는 딜레마를 다룬다. 책은 여러 논쟁을 통해, 우리가 시민으로 살면서 부딪히는 어려운 질문들을 설득력있게 풀어간다.",1,국내도서-사회 정치
2,9788963710051,3473511,성균관 유생들의 나날 1,"9,900원",550원,정은궐,파란 (파란미디어),"금녀의 반궁, 성균관에 입성한 남장 유생 김 낭자의 파란만장한 나날들 병약한 남동생 대신 남장하고 과거를 보게 된 김윤희. 여자로서의 삶을 포기한 그녀 앞에 조선 최고의 신랑감으로 칭송이 자자한 이선준이 등장한다. 과거장에서 만나 첫눈에 반한 선준과 정체모를 우정까지 나누게 된 윤희. 나란히 왕의 눈에 들어 금녀의 성균관에 들어가는 걸로 모자라 선준과 한방까지 쓰게 생겼다. 여자임이 발각되는 날에는 자신의 죽음은 물론 멸문지화를 면할 수 없는데…….",1,국내도서-소설/시/희곡
3,9788943103767,4169594,허수아비춤,"10,800원",600원,조정래,문학의문학,"야만의 얼굴을 한 천민자본주의, 그 누구도 자유로울 수 없는 우리 시대의 자화상을 그리는 작가, 조정래 새로운 세상을 꿈꾸며 또 한걸음을 내딛다 『태백산맥』, 『한강』, 『아리랑』등 우리 근현대사를 대하소설에 담아내며 한국현대사에 큰 획을 그은 작가 조정래의 신작 장편소설이다. 전작에서 한국의 근현대사, 분단과 이념의 문제, 비전향 장기수와 역사 밖으로 밀려났던 포로들의 인권 문제를 다뤘다면 이 작품에서는 처음으로 현대로 넘어와 성장의 빛과 그늘, 자본과 분배의 문제를 현란한 필치로 파헤쳤다.",3,국내도서-소설/시/희곡
4,9788963710068,3473513,성균관 유생들의 나날 2,"9,900원",550원,정은궐,파란 (파란미디어),"금녀의 반궁, 성균관에 입성한 남장 유생 김 낭자의 파란만장한 나날들 병약한 남동생 대신 남장하고 과거를 보게 된 김윤희. 여자로서의 삶을 포기한 그녀 앞에 조선 최고의 신랑감으로 칭송이 자자한 이선준이 등장한다. 과거장에서 만나 첫눈에 반한 선준과 정체모를 우정까지 나누게 된 윤희. 나란히 왕의 눈에 들어 금녀의 성균관에 들어가는 걸로 모자라 선준과 한방까지 쓰게 생겼다. 여자임이 발각되는 날에는 자신의 죽음은 물론 멸문지화를 면할 수 없는데…….",1,국내도서-소설/시/희곡
5,9788963710020,3451475,규장각 각신들의 나날 1,"9,900원",550원,정은궐,파란 (파란미디어),"‘공부가 가장 쉬웠던’ 성균관은 아무것도 아니었다. 피똥 싸는 건 예사고, 없던 다한증까지 생긴다는 돌아온 ‘잘금 4인방’의 더욱 파란만장해진 규장각 나날! 왕의 지나친 총애 덕분에 사이좋게 규장각으로 발령 난 잘금 4인방. 동생 윤식과 바꿔치기를 하려면 외관직 발령만이 살길이었던 윤희는 앞이 깜깜하다. 윤희 윤식 남매의 사기행각은 이제 그들만의 문제를 벗어나, 발각되는 날엔 윤희의 가문은 물론 선준의 인생, 위세 높은 좌의정 대감 댁이 쑥대밭이 될 상황이다.",2,국내도서-소설/시/희곡
6,9788963710037,3451476,규장각 각신들의 나날 2,"9,900원",550원,정은궐,파란 (파란미디어),"‘공부가 가장 쉬웠던’ 성균관은 아무것도 아니었다. 피똥 싸는 건 예사고, 없던 다한증까지 생긴다는 돌아온 ‘잘금 4인방’의 더욱 파란만장해진 규장각 나날! 왕의 지나친 총애 덕분에 사이좋게 규장각으로 발령 난 잘금 4인방. 동생 윤식과 바꿔치기를 하려면 외관직 발령만이 살길이었던 윤희는 앞이 깜깜하다. 윤희 윤식 남매의 사기행각은 이제 그들만의 문제를 벗어나, 발각되는 날엔 윤희의 가문은 물론 선준의 인생, 위세 높은 좌의정 대감 댁이 쑥대밭이 될 상황이다.",2,국내도서-소설/시/희곡
7,9788950926298,4212690,생각 버리기 연습,"10,800원",600원,코이케 류노스케/유윤한,21세기북스,"생각하지 않고 오감으로 느끼면 어지러운 마음이 서서히 사라진다. 코이케 류노스케 스님이 전하는 생각 버리기 연습 우리를 괴롭히는 잡념의 정체를 짚어내며, 일상에서 바로 실천할 수 있는 생각 버리기 연습을 제시하는 책. 현재 일본에서 생각을 버리는 법에 대해 강연을 하며 폭발적인 인기를 얻고 있는 저자는 우리가 생각을 멈추기 어려운 이유를 이렇게 설명한다. 우리의 뇌는 자극을 추구한다.",3,국내도서-자기계발
8,9788954611800,3787264,1Q84 3,"14,220원",790원,무라카미 하루키/양윤옥,문학동네,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 압도적인 이야기의 강렬함, 읽기를 멈출 수 없는 놀라운 흡인력 전세계 독자가 손꼽아 기다려온 무라카미 하루키 문학의 결정판! 『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! 『해변의 카프카』 이후 7년 만에, 『어둠의 저편』 이후 5년 만에 출간된 무라카미 하루키 장편소설로, 일본에서는 폭발적인 반응을 불러 일으켰다.",1,국내도서-소설/시/희곡
9,9788984314207,4179691,스님의 주례사,"10,800원",600원,법륜/김점선,휴(休),행복한 결혼을 꿈꾸는 남녀에게 쏟아지는 축복 같은 조언 이 책은 '스님의 주례사'라는 제목으로 오랫동안 인터넷을 통해 회자되며 결혼 전 반드시 읽어야 할 대표적인 글로 화제가 된 법륜 스님의 남녀 마음 이야기들을 모은 것이다.,3,국내도서-종교
10,9788954612999,4262124,브리다,"10,800원",600원,파울로 코엘료/권미선,문학동네,"우리에겐 꼭 만나야 할 단 하나의 '운명'이 있다 ‘마법의 이야기꾼’ 파울로 코엘료가 들려주는 운명과 사랑에 관한 가장 아름다운 이야기 자아의 신화를 찾아가는 영혼의 연금술을 그린 『연금술사』의 작가 파울로 코엘료가 이번에는 운명과 사랑에 관한 가장 아름다운 이야기를 들려준다. “당신은 이 삶에서 무엇을 찾고 있나요?” 마음 깊이 스며들어 영혼을 채우는, 빛으로 가득한 발견의 여정을 그린 이 작품에서 스무 살 브리다가 우리 생에 가장 근원적인 질문을 던진다.",1,국내도서-소설/시/희곡
